ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
1,29 ANTHONY,ACUSHNET,,1/23/14,1
2,20 ANTHONY,ACUSHNET,,1/28/14,2
3,MIDDLE,ACUSHNET,,2/2/14,3
4,70 SLOCUM,ACUSHNET,,2/10/14,2
5,71 SLOCUM,ACUSHNET,,2/11/14,2
6,14 MYRTLE,ACUSHNET,,2/14/14,2
7,47 WING,ACUSHNET,,2/21/14,1
8,8 NYE,ACUSHNET,,2/21/14,1
9,43 HOPE,ACUSHNET,,2/24/14,1
10,119 LAWSON,ACUSHNET,,5/10/14,1
11,33 JEAN,ACUSHNET,,6/18/14,2
12,62 LAURA-KEENE,ACUSHNET,,7/28/14,2
13,264 N-MAIN,ACUSHNET,,8/4/14,2
14,ANTHONY,ACUSHNET,AT NEW YORK AVE,8/27/14,2
15,RIVET,ACUSHNET,AT 58 S-MAIN ST,9/5/14,
16,18 ORCHARD,ACUSHNET,,9/10/14,
17,82 PECKHAM,ACUSHNET,,10/22/14,2
18,HOPE,ACUSHNET,AT S-MAIN ST,12/4/14,2
19,126 PECKHAM,ACUSHNET,,12/14/14,
20,87 PECKHAM,ACUSHNET,,12/21/14,1
21,27 SHERBORN,ASHLAND,,1/13/14,2
22,207 E-UNION,ASHLAND,,2/1/14,2
23,61 WARREN,ASHLAND,,2/10/14,2
24,163-165 CHERRY,ASHLAND,,2/20/14,1
25,DONNA-LEE,ASHLAND,AT EDWARDS DR,3/12/14,2
26,54 MOUNTAIN-GATE,ASHLAND,,3/26/14,1
27,157 LELAND-FARM,ASHLAND,,3/28/14,1
28,4 WENZELL,ASHLAND,,4/3/14,1
29,16 UNION,ASHLAND,,4/15/14,
30,WAVERLY,ASHLAND,,4/17/14,3
31,10 CEDAR-HILL,ASHLAND,,5/2/14,1
32,355 CHESTNUT,ASHLAND,,5/14/14,2
33,225 PLEASANT,ASHLAND,,5/16/14,1
34,202 AMERICA,ASHLAND,,5/19/14,2
35,33 W-UNION,ASHLAND,,6/9/14,1
36,27 STONEY-BROOK,ASHLAND,,6/18/14,1
37,36 SUMMIT,ASHLAND,,7/18/14,1
38,33 CARRIAGE-HSE,ASHLAND,,8/28/14,2
39,47 NICKERSON,ASHLAND,,8/29/14,2
40,24 HUNDRED-OAKS,ASHLAND,,9/15/14,
41,123 OAK,ASHLAND,,10/16/14,1
42,330 PLEASANT,ASHLAND,,10/24/14,1
43,330 PLEASANT,ASHLAND,,10/24/14,1
44,353 AMERICA,ASHLAND,,11/8/14,1
45,353 AMERICA,ASHLAND,,11/8/14,1
46,OPP 292 AMERICA,ASHLAND,,11/13/14,1
47,66 HIGLEY,ASHLAND,,12/4/14,2
48,201 WINTER,ASHLAND,,12/22/14,2
49,300 ELIOT,ASHLAND,,12/27/14,2
50,131 WAVERLY,ASHLAND,,12/27/14,2
51,12 FOREST,AUBURN,,6/28/14,1
52,17 WELLMAN,AUBURN,,7/6/14,3
53,77 SOUTHBRIDGE,AUBURN,,10/20/14,1
54,59-61 RESERVOIR,CAMBRIDGE,,1/6/14,2
55,59-61 RESERVOIR,CAMBRIDGE,,1/6/14,1
56,34 BROOKFORD,CAMBRIDGE,,1/7/14,1
57,251 BRATTLE,CAMBRIDGE,,1/9/14,2
