ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE,CAUSE
38998,43 FOREST ST ,CLI ,,4/7/14,2, CORROSION
38998,43 FOREST ST ,CLI ,,4/7/14,2, CORROSION
38998,43 FOREST ST ,CLI ,,4/7/14,2, CORROSION
38998,43 FOREST ST ,CLI ,,4/7/14,2, CORROSION
39078,11 GARFIELD AV ,WEY ,,12/2/14,2, CORROSION
39078,11 GARFIELD AV ,WEY ,,12/2/14,2, CORROSION
39367,283 BEALE ST ,QUI ,,11/13/14,2, CORROSION
39367,283 BEALE ST ,QUI ,,11/13/14,2, CORROSION
41529,16 HANOVER ST ,LNN ,N COMMON ST ,7/11/14,2, OTHER
41529,16 HANOVER ST ,LNN ,N COMMON ST ,7/11/14,2, OTHER
41529,16 HANOVER ST ,LNN ,N COMMON ST ,7/11/14,2, OTHER
41529,16 HANOVER ST ,LNN ,N COMMON ST ,7/11/14,2, OTHER
41529,16 HANOVER ST ,LNN ,N COMMON ST ,7/12/14,2, OTHER
41529,16 HANOVER ST ,LNN ,N COMMON ST ,7/12/14,2, OTHER
41529,16 HANOVER ST ,LNN ,N COMMON ST ,7/12/14,2, OTHER
41529,16 HANOVER ST ,LNN ,N COMMON ST ,7/12/14,2, OTHER
42085,288 MAIN ST ,WNC ,,6/11/14,3, NATURAL FORCE
42085,288 MAIN ST ,WNC ,,6/11/14,3, NATURAL FORCE
43801,18 DUGGAN RD ,ACT ,,3/10/14,2, CORROSION
43801,18 DUGGAN RD ,ACT ,,3/10/14,2, CORROSION
104620,23-25 WAITE ST ,MAL ,,4/25/14,2, OTHER
104620,23-25 WAITE ST ,MAL ,,4/25/14,2, OTHER
104620,23-25 WAITE ST ,MAL ,,4/25/14,2, OTHER
104620,23-25 WAITE ST ,MAL ,,4/25/14,2, OTHER
105996,9 PALMER ST ,WAL ,,7/8/14,2, NATURAL FORCE
105996,9 PALMER ST ,WAL ,,7/8/14,2, NATURAL FORCE
108691,FAIRFAX RD ,MIL ,BROOK RD ,10/14/14,2, CORROSION
108691,FAIRFAX RD ,MIL ,BROOK RD ,10/14/14,2, CORROSION
110082,532 WASHINGTON AV ,REV ,,8/30/14,, CORROSION
110082,532 WASHINGTON AV ,REV ,,8/30/14,, CORROSION
110459,COMMONWEALTH AV ,BOS ,CHARLESGATE EAST ,12/15/14,2, MATL OR WELD FAILURE
110459,COMMONWEALTH AV ,BOS ,CHARLESGATE EAST ,12/15/14,2, MATL OR WELD FAILURE
110459,COMMONWEALTH AV ,BOS ,CHARLESGATE EAST ,12/15/14,2, MATL OR WELD FAILURE
110459,COMMONWEALTH AV ,BOS ,CHARLESGATE EAST ,12/15/14,2, MATL OR WELD FAILURE
115445,380 CENTRAL ST ,ACT ,,11/26/14,2, CORROSION
115445,380 CENTRAL ST ,ACT ,,11/26/14,2, CORROSION
115699,310 ASH ST ,RDG ,,8/27/14,2, CORROSION
115699,310 ASH ST ,RDG ,,8/27/14,2, CORROSION
121901,22 PLEASANT ST ,BRA ,,12/27/14,2, CORROSION
121901,22 PLEASANT ST ,BRA ,,12/27/14,2, CORROSION
123282,109 SAMOSET AV ,HUL ,LINCOLN ST ,6/10/14,2, CORROSION
