ID,ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
38861,117 DUDLEY RIVER RD ,Southbridge,,3/18/92,3
38863,70 CENTRAL ST ,Southbridge,TELEPHONE POLE 7 ST ,7/17/94,3
38877,24 VASSAR ST ,LEO ,MERRIAM ST ,10/21/94,3
38886,23 MILL ST ,LEO ,,9/7/95,3
38909,84 UNION ST ,LEO ,,9/12/95,3
38956,PARK ST ,Southbridge,EVERETT ST ,7/8/94,3
38984,WATER ST ,CLI ,CHESTNUT ST ,10/18/95,3
39014,N MAIN ST ,LEO ,HOSPITAL RD ,4/20/90,3
39043,11 CASTLE RD ,WEY ,,7/26/95,3
39061,25 RUCILLE AV ,WEY ,RAYCROFT AV ,7/17/90,3
39070,605 BROAD ST ,WEY ,,4/21/92,3
39077,514 BROAD ST ,WEY ,CENTER ST ,5/7/91,3
39092,11 SAUNDERS ST ,WEY ,,8/6/90,3
39093,209 IDLEWELL BLVD ,WEY ,CLEMATIS AV ,8/1/90,3
39095,157 PEARL ST ,WEY ,,7/31/90,3
39100,467 MAIN ST ,WEY ,,6/8/93,3
39131,35 GREAT REPUBLIC AV ,WEY ,,7/18/90,3
39137,5 MUTTON LN ,WEY ,,7/17/90,3
39168,65 LIVERMORE RD ,WEL ,,6/14/95,3
39206,83 WESTGATE RD ,WEL ,,7/23/92,3
39207,5 DEAN RD ,WEL ,,8/3/92,3
39260,THORNTON ST ,QUI ,FENNO ST ,3/6/95,3
39278,68 ABERDEEN RD ,QUI ,,8/8/94,3
39288,1 EXETER ST ,QUI ,N CENTRAL AV ,6/16/94,3
39292,QUINCY SHORE DR ,QUI ,FENNO ST ,6/23/94,3
39297,143 FENNO ST ,QUI ,,7/3/95,3
39306,53 SUOMI RD ,QUI ,NELSON ST ,10/27/92,3
39314,PAYNE ST ,QUI ,FRANKLIN ST ,10/23/92,3
39321,10 HOLYOKE ST ,QUI ,,8/2/94,3
39330,21 S WALNUT ST ,QUI ,,5/4/94,3
39338,9 AVALON AV ,QUI ,,5/2/94,3
39344,139 ELM ST ,QUI ,,5/9/94,3
39359,64 PIERMONT ST ,QUI ,,6/21/94,3
39362,54 WAYLAND ST ,QUI ,,6/7/94,3
39366,241 BEALE ST ,QUI ,,5/29/94,3
39368,153 KENDRICK AV ,QUI ,,5/26/94,3
39383,436 SEA ST ,QUI ,,5/17/94,3
39385,50 HUGHES ST ,QUI ,,5/12/94,3
39423,690 WILLARD ST ,QUI ,,6/15/94,3
39539,250 BLUE HILL AV ,MIL ,BLUE HILL TER ,1/5/95,3
39557,265 N MAIN ST ,COH ,DOLAN LN ,6/14/91,3
39576,RUSSELL ST ,MIL ,RANDOLPH AV ,6/25/94,3
39584,126 REEDSDALE RD ,MIL ,,6/26/95,3
39587,ADAMS ST ,MIL ,BROOK RD ,4/14/93,3
39588,73 BROOK HILL RD ,MIL ,,3/31/93,3
39609,CUSHING RD ,COH ,PLEASANT ST ,5/18/95,3
39680,371 WALNUT ST ,BRO ,,5/9/95,3
39713,5 MANN ST ,BRA ,BRAMBLEWOOD LN ,6/16/93,3
39737,247 SHAW ST ,BRA ,WELLINGTON ST ,9/29/95,3
39769,WASHINGTON ST ,BRA ,PLYMOUTH RD ,11/27/90,3
39783,336 PLAIN ST ,BRA ,,4/12/95,3
39851,67 LINDEN RD ,WRO ,,5/17/94,3
39905,7 LIBERTY PL ,SBO ,PREBLE ST ,3/24/94,3
39952,25 WHITTIER ST ,ROX ,,4/22/94,3
39961,51 HAWTHORNE ST ,ROX ,HIGHLAND ST ,12/17/93,3
39970,14 WARREN PL ,ROX ,,12/22/94,3
39974,114 THORNTON ST ,ROX ,,7/24/92,3
40008,83 BLUE HILL AV ,ROX ,,7/30/92,3
40021,4057 WASHINGTON ST ,ROS ,,8/14/95,3
40213,105 THORNTON ST ,REV ,,6/21/90,3
40217,455 MOUNTAIN AV ,REV ,LAMBERT ST ,6/13/90,3
40322,143 E COTTAGE ST ,DOR ,,5/16/93,3
40405,40 LONSDALE ST ,DOR ,,5/16/95,3
40498,EVANS ST ,DOR ,DYER ST ,7/7/95,3
40509,MILLET ST ,DOR ,WHEATLAND AV ,7/26/95,3
40510,24 ALGONQUIN ST ,DOR ,,7/26/95,3
40566,CALLENDER ST ,DOR ,DON ST ,7/13/95,3
40593,MAYFIELD ST ,DOR ,DORCHESTER AV ,9/12/95,3
40596,70 MAYFIELD ST ,DOR ,,9/12/95,3
40636,1208 DORCHESTER AV ,DOR ,,8/10/95,3
40661,1 61A  DIX ST ,DOR ,,8/30/95,3
40684,2 SARGENT ST ,DOR ,,9/7/95,3
40709,57 VIRGINIA ST ,DOR ,,8/22/95,3
40719,559 DUDLEY ST ,DOR ,,8/24/95,3
40720,591 DUDLEY ST ,DOR ,,8/24/95,3
40725,714 DUDLEY ST ,DOR ,,8/24/95,3
40726,16 JEROME ST ,DOR ,,8/24/95,3
40757,614 GALLIVAN BLVD ,DOR ,RITA RD ,3/19/92,2
40917,E BERKELEY ST ,BOS ,TREMONT ST ,2/15/93,3
40930,31 STUART ST ,BOS ,,6/8/95,3
40982,COLUMBUS AV ,BOS ,HOLYOKE ST ,7/30/93,3
41036,COMMONWEALTH AV ,BOS ,BERKELEY ST ,10/11/94,3
41058,CAMBRIDGE ST ,BOS ,LYNDE ST ,9/29/95,3
41112,15 BEACH AV ,SWA ,,4/12/95,3
41147,48 STANLEY RD ,SWA ,SUMNER ST ,12/22/92,3
41153,974 HUMPHREY ST ,SWA ,FRANCIS RD ,2/6/93,3
41240,27 WESTLAND AV ,SAU ,,6/2/92,3
41243,GRANDVIEW AV ,SAU ,PRATT ST ,5/29/92,3
41311,131 BOSTON ST ,SAL ,,6/25/92,3
41360,40 PERLEY AV ,PEA ,,7/15/92,3
41402,103 CENTRAL ST ,PEA ,,10/12/94,3
41422,4 TULLY RD ,MAR ,ROBERT RD ,9/16/94,3
41446,2 TULLY RD ,MAR ,LAFAYETTE ST ,12/26/91,3
41458,30 THOMPSON RD ,MAR ,,3/2/93,3
41461,32 PHILLIPS ST ,MAR ,ORCHARD ST ,1/2/94,3
41466,11 GALLISON AV ,MAR ,,12/31/93,3
41480,24 LEICESTER RD ,MAR ,,9/9/94,3
41517,15 WALLACE RD ,MAR ,,12/13/91,3
41527,198 FAYS AV ,LNN ,LARCHMONT ST ,12/20/92,3
41541,155 LYNNFIELD ST ,LNN ,,12/15/91,3
41546,2 MAYFAIR ST ,LNN ,,8/16/91,3
41637,79 CARTER RD ,LNN ,,8/13/93,3
41642,284 CHATHAM ST ,LNN ,,10/24/94,3
41650,7 FALLS ST ,LNN ,,8/11/94,3
41651,37 ATKINS AV ,LNN ,KINGSTON ST ,8/11/94,3
41673,517 ESSEX ST ,LNN ,,10/4/93,3
41682,510 EASTERN AV ,LNN ,,5/4/95,3
41701,15 GILBERT ST ,LNN ,,5/18/95,3
41732,185 LOWELL ST ,LNF ,,5/25/95,3
41820,165 FOREST HILL AV ,LNF ,,7/1/92,3
41822,674 MAIN ST ,LNF ,,7/8/92,3
41847,14 EASTERN POINT RD ,GLO ,,9/28/93,3
41918,167 BRIDGE ST ,BEV ,LINDSEY AV ,6/2/93,3
41944,27 SQUANTO RD ,WOB ,,8/29/91,3
41990,363 LEXINGTON ST ,WOB ,RYDER RD ,12/30/92,3
42039,HANCOCK ST ,Winchester,HIGHLAND AV ,1/23/95,3
42089,51 MYSTIC VALLEY PKWY ,Winchester,,9/10/91,3
42122,282 MAIN ST ,Winchester,,10/4/89,3
42157,384 GLEN RD ,WES ,,12/9/93,3
42174,276 DALE ST ,WAL ,,9/16/94,3
42211,79 MARLBOROUGH RD ,WAL ,,7/11/95,3
42222,1191 MAIN ST ,WAL ,SHERIDAN ST ,6/29/95,3
42241,OLD MEADOW RD ,Sudbury,BENT RD ,11/6/91,3
42249, P8/9  AUDUBON RD ,WAK ,,11/12/94,3
42258,333 LINCOLN ST ,WAL ,BLOSSOM ST ,11/6/95,3
42311,656 BOSTON POST RD ,Sudbury,,5/14/92,3
42428,72 WOBURN ST ,RDG ,,6/18/92,3
42432,20 COPELAND AV ,RDG ,,6/17/92,3
42441,14 GROVE ST ,RDG ,,9/13/91,3
42479,52 SEWALL ST ,NEW ,,10/22/90,3
42522,3 COLUMBUS ST ,NEW ,,5/21/93,3
42571,1418 COMMONWEALTH AV ,NEW ,DARTMOUTH ST ,7/7/95,3
42619,102 BOYD ST ,NEW ,JEWETT ST ,2/15/92,3
42649,CLAREMONT ST ,NEW ,LOMBARD ST ,3/3/93,3
42686,RAVINE RD ,MEL ,WYOMING AV ,1/26/95,3
42817,62 MAIN ST ,MEL ,,4/23/90,3
42835,167 LEBANON ST ,MEL ,,2/27/92,3
43133,921 MAIN ST ,MAL ,,12/19/94,3
43161,SALEM ST ,MAL ,BELLVALE ST ,10/10/95,3
43183,33 WINTER ST ,LIN ,,1/9/95,3
43187,19 TRAPELO RD ,LIN ,,4/27/95,3
43188,101 GOLDSMITH ST ,LIT ,,6/27/95,3
43195,26 FLETCHER LN ,LIT ,,6/29/92,3
43355,45 HIGHLAND AV ,EVE ,,7/6/95,3
43363,121 IRVING ST ,EVE ,,7/26/95,3
43427,533 LEXINGTON RD ,CON ,,8/13/93,3
43634,99 FLETCHER RD ,BED ,,12/6/90,3
43662,22 JACKSON ST ,AYE ,,5/19/92,3
43672,14 PAUL REVERE RD ,BED ,,5/25/95,3
43797,42 CENTRAL ST ,ACT ,,10/22/90,3
43799,36 GREAT RD ,ACT ,,10/30/90,3
43829,62 HOGG MEMORIAL DR ,WHI ,,3/29/95,3
43831,45 HARVEY LN ,WHI ,,10/3/94,3
43857,WILLOW ST ,ACT ,HOMESTEAD ST ,10/29/91,3
43858,2 FOX HILL RD ,ACT ,GIOCONDA RD ,4/14/93,3
43865,DUGGAN RD ,ACT ,TOWNSEND RD ,10/2/90,3
43866,24 AGAWAM RD ,ACT ,SENECA RD ,9/12/90,3
43871,JOHN BURKE DR ,ROC ,W WATER ST ,3/16/92,3
44044,6 CLARK RD ,Hingham,,8/28/91,3
93170,BROOKSIDE PKWY ,MED ,NEWPORT AV ,12/19/90,3
