ID,ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
1,PARK,HOPEDALE,,12/31/14,3
2,29 MARION,NATICK,,12/31/14,3
3,6 STRATHMORE,NATICK,,12/31/14,3
4,25 CATHERINE,NORTHBORO,,12/31/14,3
5,22 STONE,NORTHBORO,,12/31/14,3
6,93 WASHBURN,NORTHBORO,,12/31/14,3
7,132 BROOK,HOLLISTON,,12/30/14,3
8,COOPER,NATICK,,12/30/14,3
9,6 OTIS,NORTHBORO,,12/30/14,3
10,41 THOREAU,NORTHBORO,,12/30/14,3
11,42 THOREAU,NORTHBORO,,12/30/14,3
12,750 TRUMAN,HYDE PARK,,12/29/14,3
13,776 TRUMAN,HYDE PARK,,12/29/14,3
14,842 TRUMAN,HYDE PARK,,12/29/14,3
15,138 STATE,NEW BEDFORD,@ FRANKLIN ST,12/29/14,3
16,21 WILLIAMS,UPTON,,12/29/14,3
17,HOPKINTON,WESTBOROUGH,,12/29/14,3
18,WEST MAIN,WESTBOROUGH,,12/29/14,3
19,6 DOWNEY,WESTWOOD,@ HAWK TREE DR,12/29/14,3
20,GLANDORE,WESTWOOD,,12/29/14,3
21,253 POND,WESTWOOD,,12/29/14,3
22,91 STRASSER,WESTWOOD,,12/29/14,3
23,115 FLAGG,WORCESTER,,12/29/14,3
24,3-5 THATCHER,HYDE PARK,,12/26/14,3
25,706 TRUMAN,HYDE PARK,,12/26/14,3
26,746 TRUMAN,HYDE PARK,,12/26/14,3
27,327 WEST CENTRAL,NATICK,,12/26/14,3
28,50 PLEASANT,NATICK,,12/26/14,3
29,6 PLEASANT,NATICK,,12/26/14,3
30,228 POND,NATICK,,12/26/14,3
31,SPEEN,NATICK,,12/26/14,3
32,241 WEST CENTRAL,NATICK,,12/26/14,3
33,58 WEST CENTRAL,NATICK,,12/26/14,3
34,16 WESTERN,NATICK,,12/26/14,3
35,35 WHITTIER,NATICK,,12/26/14,3
36,21 NORTH MAIN,UXBRIDGE,,12/26/14,3
37,129-135 BONHAM,DEDHAM,,12/24/14,3
38,35 SANFORD,HYDE PARK,,12/24/14,3
39,189 SHERRIN,HYDE PARK,,12/24/14,3
40,31 SUMMER,HYDE PARK,,12/24/14,3
41,74 SUMMER,HYDE PARK,,12/24/14,3
42,10 VERMONT,NATICK,,12/24/14,3
43,18 VERMONT,NATICK,,12/24/14,3
44,57 BRIAR,WESTWOOD,,12/24/14,3
45,60 BRIAR,WESTWOOD,,12/24/14,3
46,72 BRIAR,WESTWOOD,,12/24/14,3
47,125 FENSVIEW,WESTWOOD,,12/24/14,3
48,205 WEATHERBEE,WESTWOOD,,12/24/14,3
49,36 WOODRIDGE,WESTWOOD,,12/24/14,3
50,37 WOODRIDGE,WESTWOOD,,12/24/14,3
51,337 CHESTNUT,ASHLAND,,12/23/14,3
52,400 MOUNT AUBURN,CAMBRIDGE,,12/23/14,2
53,26 CRESTWOOD,FRAMINGHAM,,12/23/14,3
54,9 PERKINS,HYDE PARK,,12/23/14,3
55,20 RILEY,HYDE PARK,,12/23/14,3
56,1916 RIVER,HYDE PARK,,12/23/14,3
57,860 RIVER,HYDE PARK,,12/23/14,3
58,10 MICHIGAN,NATICK,,12/23/14,3
59,MICHIGAN,NATICK,,12/23/14,3
60,319 NORTH MAIN,NATICK,,12/23/14,3
61,338 NORTH MAIN,NATICK,,12/23/14,3
62,97 NORTH MAIN,NATICK,,12/23/14,3
63,15 WATER,NATICK,,12/23/14,3
64,20 WATER,NATICK,,12/23/14,3
65,37 WELLESLEY,NATICK,,12/23/14,3
66,HIGH ROCK,NEEDHAM,@ LINDEN ST,12/23/14,3
67,98 LINCOLN,NEEDHAM,,12/23/14,3
68,LINDEN,NEEDHAM,,12/23/14,3
69,WEBSTER,NEEDHAM,,12/23/14,3
70,364-366 HAMILTON,WORCESTER,,12/23/14,3
71,40 SUMMER,ASHLAND,,12/22/14,3
72,91 CHILD,HYDE PARK,,12/22/14,3
73,731 METROPOLITAN,HYDE PARK,,12/22/14,3
74,920 METROPOLITAN,HYDE PARK,,12/22/14,3
75,MILTON,HYDE PARK,,12/22/14,3
76,19 FITZGERALD,MARLBORO,,12/22/14,3
77,BODEN,NATICK,@ TAMARACK RD,12/22/14,3
78,GLEN,NATICK,,12/22/14,3
79,15 WASHINGTON,NATICK,@ HUNTER HILL RD,12/22/14,3
80,67 NORFOLK,NEEDHAM,,12/22/14,3
81,17 RIDGEWAY,NEEDHAM,,12/22/14,3
82,53 WEBSTER,NEEDHAM,,12/22/14,3
83,176 WHITMAN,NEEDHAM,,12/22/14,3
84,56 WINDING RIVER,NEEDHAM,,12/22/14,3
85,160 TACOMA,WORCESTER,,12/22/14,3
86,46 BAY,FAIRHAVEN,,12/19/14,3
87,19 MARIPOSA,HYDE PARK,,12/19/14,3
88,257 HIGH ROCK,NEEDHAM,,12/19/14,3
89,287 HIGH ROCK,NEEDHAM,,12/19/14,3
90,381 HIGH ROCK,NEEDHAM,,12/19/14,3
91,HIGH ROCK,NEEDHAM,,12/19/14,3
92,36 MARKED TREE,NEEDHAM,,12/19/14,3
