ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
1,147 PRINCE,NEEDHAM,,21-Nov-15,2
2,MASSACHUSETTS,CAMBRIDGE,@ CLARENDON AVENUE,28-Sep-15,3
3,2512 MASSACHUSETTS,CAMBRIDGE,@ COTTAGE PARK AVENUE,28-Sep-15,3
4,2029 MASSACHUSETTS,CAMBRIDGE,BLAKE STREET,2-Jan-15,2
5,31 BRAE,FAIRHAVEN,,11-Feb-15,3
6,674 BROADWAY,SOMERVILLE,,18-Nov-15,2
7,CHANDLER,WORCESTER,@ PIEDMONT STREET,3-Sep-15,2
8,87 THOMAS,DEDHAM,BUSSEY STREET,16-Mar-15,2
9,673 CONCORD,FRAMINGHAM,PHELPS ROAD,1-May-15,2
10,326 HUTTLESTON,FAIRHAVEN,STONE STREET,6-Mar-15,2
11,MAGAZINE,CAMBRIDGE,@ PUTNAM AVENUE,6-Jan-15,2
12,30-33 BRAE,FAIRHAVEN,,11-Feb-15,3
13,661 CONCORD,FRAMINGHAM,GUADAL CANAL,12-Jan-15,2
14,89A WARREN,PLYMOUTH,,3-Sep-15,2
15,32 QUINCY,CAMBRIDGE,BROADWAY,23-Apr-15,2
16,180 ASH,HOPKINTON,CHESTNUT ST,2-Jan-15,2
17,87 WINDHAM,HYDE PARK,,2-Jan-15,2
18,45-47 CAMERON,CAMBRIDGE,@ SEVEN PINES,2-Jan-15,2
19,54 COMO,HYDE PARK,,26-Jan-15,2
20,268 WALDEN,CAMBRIDGE,,2-Jan-15,2
21,353 WOOD,HOPKINTON,SPRING ST,5-Jan-15,2
22,33 KIRKLAND,CAMBRIDGE,KIRKLAND PL,27-Mar-15,2
23,804 HYDE PARK,HYDE PARK,,14-Jan-15,2
24,142 HIGHLAND,WORCESTER,WEST ST,8-Apr-15,2
25,19 BARRETT,NEEDHAM,,16-Jan-15,2
26,410 MEMORIAL,CAMBRIDGE,,14-Apr-15,3
27,327 WEST CENTRAL,NATICK,,27-Mar-15,2
28,315-323 WEST,HYDE PARK,,23-Jan-15,3
29,108 PROSPECT,ASHLAND,,1-Jan-15,1
30,146 VINCENT,DEDHAM,,2-Jan-15,2
31,169 DICENZO,MARLBORO,,2-Jan-15,2
32,23 CORNELL,MILFORD,,2-Jan-15,1
33,264 WELD,NEW BEDFORD,SUMMER ST,2-Jan-15,1
34,19 DUDLEY,NEW BEDFORD,,2-Jan-15,1
35,94 WILLARD,NEW BEDFORD,,2-Jan-15,1
36,OLD PLAINVILLE,NEW BEDFORD,,2-Jan-15,2
37,13 WHITNEY,WESTBOROUGH,,2-Jan-15,1
38,186 PRESCOTT,WORCESTER,NORTH ST,2-Jan-15,1
39,181 MASSACHUSETTS,CAMBRIDGE,ALBANY ST,3-Jan-15,1
40,LINWOOD,SOMERVILLE,@ 259 MCGRATH HWY,5-Jan-15,2
41,LINWOOD,SOMERVILLE,@ MCGRATH HWY,5-Jan-15,3
42,35 NEWTON,FRAMINGHAM,DAY HILL RD,6-Jan-15,2
43,167 RICHMOND,NEW BEDFORD,TRINITY ST,6-Jan-15,2
44,365 LAKE,SHREWSBURY,HEMMINGWAY ST,6-Jan-15,2
45,23 LESLIE,MILLBURY,,7-Jan-15,2
46,GRANT,FRAMINGHAM,@ DAVIS ST,16-Jan-15,2
47,236 MAIN,ACUSHNET,LISA AVE,27-Feb-15,3
48,107 ILLINOIS,WORCESTER,,21-Sep-15,1
49,52 NEWTON,MARLBORO,,1-Sep-15,1
50,365 LAKE,SHREWSBURY,HOWE AVE,6-Jan-15,2
51,39 CHICKERING,DEDHAM,,5-Jan-15,2
52,146 VINCENT,DEDHAM,,5-Jan-15,2
53,24 TARALLI,FRAMINGHAM,,5-Jan-15,1
54,33 SUMMER,KINGSTON,,5-Jan-15,1
55,108 ELLICOTT,NEEDHAM,,5-Jan-15,2
56,129 PHEASANT HILL,MARLBORO,FARM ROAD,6-Jan-15,2
57,106 ELM,MARLBORO,FRANKLIN ST,9-Jan-15,2
58,HIGHLAND,CAMBRIDGE,@ RESERVOIR ST,15-Jan-15,2
59,26 STRATTON,HUDSON,STRATTON RD,18-May-15,2
60,WINDSOR,CAMBRIDGE,@ HARVARD ST,6-Jan-15,1
61,ASH,HOPKINTON,@ S. MILL ST,6-Jan-15,1
62,119 MAPLEWOOD,MARLBORO,,6-Jan-15,1
63,26 TRINITY,MILFORD,,6-Jan-15,1
64,5 COOLIDGE,NATICK,,6-Jan-15,1
65,EUNICE,WORCESTER,@ CLARK ST,6-Jan-15,2
66,WOOD,HOPKINTON,@ WHISPER WAY,19-Jan-15,2
67,119 NOANETT,NEEDHAM,GARY RD,24-Mar-15,2
68,678 MASSACHUSETTS,CAMBRIDGE,WESTERN AVE,7-Jan-15,1
69,51 BEACON,FRAMINGHAM,,7-Jan-15,1
70,14 MASON,HUDSON,,7-Jan-15,1
71,406 LINCOLN,MARLBORO,WINTHROP ST,7-Jan-15,1
72,101 AYLESBURY,WORCESTER,,14-Jan-15,2
73,BRIMSMEAD,MARLBORO,@ BOLTON ST,16-Jan-15,2
74,SLOCUM,ACUSHNET,@ BITTEAU ST,18-Feb-15,3
75,31 WINTER,CAMBRIDGE,SCIARAPPA ST,8-Jan-15,1
76,WINTHROP,MARLBORO,LINCOLN ST,8-Jan-15,1
77,50 EMMONS,MILFORD,,8-Jan-15,1
78,57 BEVERLY,NATICK,OAK ST,8-Jan-15,1
79,37 CENTRE,NATICK,,8-Jan-15,1
80,39 CENTRE,NATICK,,8-Jan-15,1
81,15 PHOEBE,WORCESTER,PELICAN AVE,12-Jan-15,3
82,119 PECKHAM,ACUSHNET,,9-Jan-15,1
83,15 WOODWARD,FRAMINGHAM,,9-Jan-15,1
84,23 HALSEY,HYDE PARK,CRANMORE RD,9-Jan-15,2
85,37 WALDO,NEW BEDFORD,,9-Jan-15,2
86,7 SUMMER,SHREWSBURY,,9-Jan-15,1
87,208 IRVING,FRAMINGHAM,PHIPPS ST,15-Jan-15,2
88,15 BOUDREAU,MARLBORO,,10-Jan-15,1
89,12 SANTO,PLYMOUTH,FILMORE ST,12-Jan-15,2
90,105-107 BURBANK,MILLBURY,,11-Jan-15,1
91,106 KENBERMA,WORCESTER,,11-Jan-15,1
92,511 WASHINGTON,AUBURN,,12-Jan-15,1
93,14 MURDOCK,CAMBRIDGE,HAMPSHIRE ST,12-Jan-15,1
94,261 HUNTINGTON,HYDE PARK,,12-Jan-15,1
95,46 ST IVES,MARLBORO,,12-Jan-15,2
96,8 MERCER,NATICK,DEAN RD,14-Jan-15,2
97,45-47 MALVERN,WORCESTER,,16-Jan-15,2
98,906 GAY,WESTWOOD,@ WASHINGTON ST,23-Jan-15,2
99,70 MILL,ACUSHNET,MAZEPPA ST,12-Feb-15,2
100,196 BROADWAY,CAMBRIDGE,PORTLAND ST,13-Jan-15,1
101,3 JANET,GRAFTON,,13-Jan-15,1
102,166 EAST CENTRAL,NATICK,UNIVERSITY DR,13-Jan-15,1
103,170 BUCHANAN,NEW BEDFORD,,13-Jan-15,2
104,4 RUTHEN,SHREWSBURY,,13-Jan-15,1
105,NEAR 234 FAIRMOUNT,HYDE PARK,HIGHLAND ST,14-Jan-15,1
106,WOOD,HOPKINTON,@ WHISPER WAY,19-Jan-15,2
107,BROADWAY,CAMBRIDGE,1 HAMPSHIRE ST,14-Jan-15,1
108,10 WOODRIDGE,HOLDEN,WINFIELD DR,14-Jan-15,2
109,22 BENNETT,HUDSON,,14-Jan-15,2
110,15 MACDONALD,HYDE PARK,,15-Jan-15,2
111,SPRING,MARLBORO,@ BOUDREAU AVE,15-Jan-15,2
112,HIGHLAND,MILFORD,@ 140 WEST ST,15-Jan-15,2
113,225 FAIRMOUNT,HYDE PARK,HIGHLAND ST,16-Jan-15,2
114,29 GREENLEAF,FRAMINGHAM,OLD CONNECTICUT PATH,20-Jan-15,2
115,254 STATE,DARTMOUTH,ANDERSON WAY,23-Jan-15,2
116,208 IRVING,FRAMINGHAM,SUMMIT ST,15-Jan-15,1
117,29 ALLEN,MARION,,15-Jan-15,1
118,25 PLEASANT,WORCESTER,,15-Jan-15,1
119,306 PLANTATION,WORCESTER,ATLANTA ST,19-Jan-15,3
120,8 MERCER,NATICK,@ DEAN ST,21-Jan-15,3
121,8 MERCER,NATICK,STRATHMORE RD,21-Jan-15,2
122,26 BABBITT,NEW BEDFORD,,16-Jan-15,1
123,LOCUST,NEW BEDFORD,@ 530 COTTAGE ST,26-Feb-15,2
124,156 BUSSEY,DEDHAM,@ COLBURN ST,20-Jan-15,2
125,17-19 ARCADE,NORTHBRIDGE,,20-Jan-15,2
126,BROADWAY,CAMBRIDGE,@ INMAN ST,23-Jan-15,2
127,STATE,NEW BEDFORD,MAXFIELD ST,18-Jan-15,1
128,46 STATE,NEW BEDFORD,,18-Jan-15,1
129,41 MILL,MARION,@ ATLANTIS DR,6-Feb-15,2
130,138 STATE,NEW BEDFORD,@ FRANKLIN ST,10-Feb-15,2
131,210 BROOK,NEW BEDFORD,HATHAWAY ST,19-Jan-15,1
132,8 STEPHEN,NEW BEDFORD,ROCKDALE AVE,19-Jan-15,1
133,564 LAKE,SHREWSBURY,,19-Jan-15,1
134,OPP 282 BEACON,SOMERVILLE,SACRAMENTO ST,22-Jan-15,2
135,12 MILLBURY,GRAFTON,,23-Jan-15,2
136,117 HATHAWAY,DARTMOUTH,SLOCUM ROAD,19-Feb-15,2
137,26 ALPINE,AUBURN,BAY RIDGE RD,20-Jan-15,1
138,163 BELLEVILLE,NEW BEDFORD,,20-Jan-15,2
139,2711 ACUSHNET,NEW BEDFORD,DEWEY ST,22-Jan-15,2
140,21 ALPENA,DEDHAM,,21-Jan-15,2
141,57 HIGH,HUDSON,,21-Jan-15,1
142,CLARK,NEW BEDFORD,@ PURCHASE ST,21-Jan-15,2
143,MAPLE,NEW BEDFORD,@ ROUNDS ST,21-Jan-15,2
144,572 ROCKDALE,NEW BEDFORD,,21-Jan-15,2
145,DORCHESTER,WORCESTER,@ PLANE ST,21-Jan-15,1
146,45 PORTER,ACUSHNET,,22-Jan-15,2
147,329 SINGLETARY,FRAMINGHAM,JODIE RD,23-Jan-15,2
148,73 BRANSCOMB,NEW BEDFORD,CONDUIT ST,23-Feb-15,2
149,47-49 PARKDALE,SOMERVILLE,LEWIS ST,29-Jun-15,2
150,201-203 HOLDEN,CAMBRIDGE,,22-Jan-15,1
151,AKIN,FAIRHAVEN,@ HUTTLESTON AVE,22-Jan-15,2
152,14 FORESTVALE,HYDE PARK,,22-Jan-15,2
153,26 TRINITY,MILFORD,,22-Jan-15,1
154,189 MERRIMAC,NEW BEDFORD,,22-Jan-15,1
155,189 MERRIMAC,NEW BEDFORD,,22-Jan-15,2
156,91 TARRYTOWN,WORCESTER,MOWER/SUSSEX,22-Jan-15,1
157,730 NORFOLK,HOLLISTON,,23-Jan-15,2
158,344 EAST BOSTON POST,MARLBORO,VILLAGE DR,23-Jan-15,2
159,239 WATER,PLYMOUTH,CASWELL LN,23-Jan-15,1
160,9 JOHN,MILFORD,FREEDOM ST,30-Jan-15,2
