ID,ADDRESS,TOWN,INTERSECTION,CLASSIFIED,GRADE
42122,282 MAIN ST,WINCHESTER,,10/4/1989,3
40217,455 MOUNTAIN AV,REVERE,LAMBERT ST,6/13/1990,3
336411,72 CHARLES DIERSCH ST,WEYMOUTH,BUTLER RD,7/16/1990,3
336417,91 HILL ST,WEYMOUTH,ASHMONT ST,7/16/1990,3
39061,25 RUCILLE AV,WEYMOUTH,RAYCROFT AV,7/17/1990,3
39131,35 GREAT REPUBLIC AV,WEYMOUTH,,7/18/1990,3
39095,157 PEARL ST,WEYMOUTH,,7/31/1990,3
39092,11 SAUNDERS ST,WEYMOUTH,,8/6/1990,3
43866,24 AGAWAM RD,ACTON,SENECA RD,9/12/1990,3
43865,DUGGAN RD,ACTON,TOWNSEND RD,10/2/1990,3
43797,42 CENTRAL ST,ACTON,,10/22/1990,3
42479,52 SEWALL ST,NEWTON,,10/22/1990,3
43799,36 GREAT RD,ACTON,,10/30/1990,3
43634,99 FLETCHER RD,BEDFORD,,12/6/1990,3
93170,BROOKSIDE PKWY,MEDFORD,NEWPORT AV,12/19/1990,3
93176,4 THORNDIKE ST,READING,PEARL ST,2/28/1991,3
93178,17 HARTWELL AV,LEXINGTON,,3/7/1991,3
93878,588 MARKET ST,ROCKLAND,LOU'S AUTO COMPANY ST,5/20/1991,3
41546,2 MAYFAIR ST,LYNN,,8/16/1991,3
41944,27 SQUANTO RD,WOBURN,,8/29/1991,3
42089,51 MYSTIC VALLEY PKWY,WINCHESTER,,9/10/1991,3
42441,14 GROVE ST,READING,,9/13/1991,3
93918,47 W MAIN TERR,WEST BROOKFIELD,,10/1/1991,3
43857,WILLOW ST,ACTON,HOMESTEAD ST,10/29/1991,3
42241,OLD MEADOW RD,SUDBURY,BENT RD,11/6/1991,3
93203,115 WOODSIDE RD,SUDBURY,,11/6/1991,3
41541,155 LYNNFIELD ST,LYNN,,12/15/1991,3
93219,52 ORCHARD ST,MARBLEHEAD,MANSION RD,1/3/1992,3
42619,102 BOYD ST,NEWTON,JEWETT ST,2/15/1992,3
38861,117 DUDLEY RIVER RD,SOUTHBRIDGE,,3/18/1992,3
39070,605 BROAD ST,WEYMOUTH,,4/21/1992,3
42311,656 BOSTON POST RD,SUDBURY,,5/14/1992,3
41243,GRANDVIEW AV,SAUGUS,PRATT ST,5/29/1992,3
41240,27 WESTLAND AV,SAUGUS,,6/2/1992,3
42432,20 COPELAND AV,READING,,6/17/1992,3
42428,72 WOBURN ST,READING,,6/18/1992,3
41311,131 BOSTON ST,SALEM,,6/25/1992,3
41820,165 FOREST HILL AV,LYNNFIELD,,7/1/1992,3
41822,674 MAIN ST,LYNNFIELD,,7/8/1992,3
41360,40 PERLEY AV,PEABODY,,7/15/1992,3
39206,83 WESTGATE RD,WELLESLEY,,7/23/1992,3
39974,114 THORNTON ST,ROXBURY,,7/24/1992,3
40008,83 BLUE HILL AV,ROXBURY,,7/30/1992,3
39207,5 DEAN RD,WELLESLEY,,8/3/1992,3
39314,PAYNE ST,QUINCY,FRANKLIN ST,10/23/1992,3
39306,53 SUOMI RD,QUINCY,NELSON ST,10/27/1992,3
41527,198 FAYS AV,LYNN,LARCHMONT ST,12/20/1992,3
41147,48 STANLEY RD,SWAMPSCOTT,SUMNER ST,12/22/1992,3
41990,363 LEXINGTON ST,WOBURN,RYDER RD,12/30/1992,3
93297,57 ORCHARD ST,MARBLEHEAD,BEACH ST,2/3/1993,3
41153,974 HUMPHREY ST,SWAMPSCOTT,FRANCIS RD,2/6/1993,3
93300,15 ERNEST ST,SAUGUS,,2/11/1993,3
40917,E BERKELEY ST,BOSTON,TREMONT ST,2/15/1993,3
41458,30 THOMPSON RD,MARBLEHEAD,,3/2/1993,3
93305,10 LAUREL ST,SAUGUS,,3/2/1993,3
42649,CLAREMONT ST,NEWTON,LOMBARD ST,3/3/1993,3
39588,73 BROOK HILL RD,MILTON,,3/31/1993,3
40322,143 E COTTAGE ST,DORCHESTER,,5/16/1993,3
42522,3 COLUMBUS ST,NEWTON,,5/21/1993,3
39100,467 MAIN ST,WEYMOUTH,,6/8/1993,3
39713,5 MANN ST,BRAINTREE,BRAMBLEWOOD LN,6/16/1993,3
94043,19-21 FARWELL ST,WALTHAM,,8/2/1993,3
93331,FULTON ST,MALDEN,BROADWAY ,8/11/1993,3
43427,533 LEXINGTON RD,CONCORD,,8/13/1993,3
94062,1576 MAIN ST,LEICESTER,,8/13/1993,3
41637,79 CARTER RD,LYNN,,8/13/1993,3
41847,14 EASTERN POINT RD,GLOUCESTER,,9/28/1993,3
41673,517 ESSEX ST,LYNN,,10/4/1993,3
94605,490 WORCESTER TPKE,WELLESLEY,,11/29/1993,3
42157,384 GLEN RD,WESTON,,12/9/1993,3
39961,51 HAWTHORNE ST,ROXBURY,HIGHLAND ST,12/17/1993,3
41466,11 GALLISON AV,MARBLEHEAD,,12/31/1993,3
41461,32 PHILLIPS ST,MARBLEHEAD,ORCHARD ST,1/2/1994,3
93524,194 AYER RD,LITTLETON,,4/22/1994,3
39952,25 WHITTIER ST,ROXBURY,,4/22/1994,3
