ID,ADDRESS,TOWN,INTERSECTION,REPAIRED,GRADE
2361352,130 MOUNT VERNON ST,BOSTON,RIVER ST,1/1/2015,1
2379192,11 BROADVIEW RD,ACTON,VALLEY RD,1/1/2015,1
2380128,5 FAIRGROUNDS RD,GROTON,MILL ST,1/1/2015,1
2378971,57 WINTHROP AVE,REVERE,BEACH ST,1/1/2015,1
309362,83 VILLAGE ST,MARBLEHEAD,TOWER WAY,1/2/2015,3
1755607,10 NADINE RD,CHELMSFORD,TEMI RD,1/2/2015,3
1768857,197 CENTRE ST,DORCHESTER,CHEVERUS RD,1/2/2015,2A
2297116,14 CHAPMAN ST,BEVERLY,FEDERAL ST,1/2/2015,3
2295344,133 NORTHAMPTON ST,BOSTON,WASHINGTON ST,1/2/2015,1
2364443,123 COMMONWEALTH RD,WAYLAND,STANTON ST,1/2/2015,1
2391848,191 BABCOCK ST,BROOKLINE,OSBORNE RD,1/2/2015,1
2390306,35 3RD ST,LEOMINSTER,SPRING ST,1/2/2015,1
2391242,158 LAKE AVE,SHANGRI LA,ACCESS RD,1/2/2015,1
2370883,176 LANCASTER ST,LEOMINSTER,6TH ST,1/3/2015,1
2406051,7 HARDY ST,DANVERS,HIGH ST,1/3/2015,1
2399890,4 DUNNS HILL RD,QUINCY,QUARRY ST,1/3/2015,1
7322456,226 M ST,SOUTH BOSTON,MARINE RD,1/3/2015,1
2424483,13 CHAPMAN ST,BEVERLY,FEDERAL ST,1/4/2015,1
2421400,35 LINDEN ST,EVERETT,BUCKNAM ST,1/4/2015,1
2423877,19 LYNNE AVE,TYNGSBOROUGH,SHERBURNE AVE,1/4/2015,1
2418537,37 CAMARADO DR,WAREHAM,DENNIS WAY,1/4/2015,1
261407,28 ASPINWALL RD,DORCHESTER,HOPESTILL ST,1/5/2015,2
2201334,3600 WASHINGTON ST,JAMAICA PLAIN,BURNETT ST,1/5/2015,1
2420079,10 LOONEY AVE,SALEM,HILLSIDE AVE,1/5/2015,1
2391976,25 COLBORNE RD,BRIGHTON,RANSOM RD,1/5/2015,1
2394389,489 E BROADWAY,SOUTH BOSTON,W BROADWAY,1/5/2015,2A
2421841,148 WARREN ST,NEWTON,WARREN TER,1/5/2015,1
2436595,15 BEDFORD ST,MARAVISTA,MARAVISTA AVE,1/5/2015,1
2435988,1 NOBLE ST,NEWBURYPORT,COOMBS CIR,1/5/2015,1
2437258,314 OTIS ST,NEWTON,FOUNTAIN ST,1/5/2015,2
2437037,HIGHLAND PIKE,PEABODY,NORTHEND ST,1/5/2015,1
2433835,55 SUOMI RD,QUINCY,NELSON ST,1/5/2015,1
2434167,40 WESTFORD ST,SAUGUS,PELHAM ST,1/5/2015,1
2434390,33 HILLTOP AVE,SAUGUS,TWIN SPRINGS DR,1/5/2015,1
2435602,81 WESTFORD RD,TYNGSBOROUGH,POTASH HILL RD,1/5/2015,1
1630972,68 N BEACON ST,BRIGHTON,SAUNDERS ST,1/6/2015,2
1669715,260 ARBORWAY,JAMAICA PLAIN,SAINT ROSE ST,1/6/2015,2
1682875,18 ASHLAND ST,ARLINGTON,ELMORE ST,1/6/2015,2
1770185,293 W 2ND ST,SOUTH BOSTON,E ST,1/6/2015,2
1779094,961 TREMONT ST,ROXBURY,HAMMOND ST,1/6/2015,2A
2295510,109 CALUMET ST,ROXBURY,SAINT ALPHONSUS ST,1/6/2015,2
2433229,197 CENTRE ST,DORCHESTER,CHEVERUS RD,1/6/2015,2
2436871,430 HOMER ST,NEWTON,COMMONWEALTH AVE,1/6/2015,2
7322635,1542 COLUMBIA RD,SOUTH BOSTON,I ST,1/6/2015,2
2447052,OLD HARBOR RD,CHATHAM,DEPOT RD,1/6/2015,1
2447496,CONGRESS AVE,CHELSEA,HIGHLAND ST,1/6/2015,1
2447773,500 RIVER ST,DORCHESTER,GILLESPIES LN,1/6/2015,1
2447884,434 NORFOLK ST,DORCHESTER,FLINT ST,1/6/2015,1
2447267,424 MAIN ST,MELROSE,LARRABEE PL,1/6/2015,1
2448491,211 BARLOWS LANDING RD,POCASSET,COUNTY RD,1/6/2015,1
2446336,44 PURITAN AVE,SWAMPSCOTT,ATLANTIC RD,1/6/2015,1
2448547,8 MAXWELL RD,WINCHESTER,MYSTIC AVE,1/6/2015,1
1209824,51 DORCHESTER ST,SOUTH BOSTON,G ST,1/7/2015,2
1652232,177 E ST,SOUTH BOSTON,W 9TH ST,1/7/2015,2
1783637,21 PLAINFIELD ST,JAMAICA PLAIN,ROSSMORE RD,1/7/2015,2
2362015,39 OAKLAND ST,BRIGHTON,OAKLAND PL,1/7/2015,2A
2300973,1935 DORCHESTER AVE,DORCHESTER,BAILEY ST,1/7/2015,1
2350555,296 HARVARD ST,BROOKLINE,GREEN ST,1/7/2015,1
2378584,290 JEFFERSON AVE,SALEM,STORY ST,1/7/2015,1
2471784,76 FISKE AVE,WALTHAM,ANDREA RD,1/7/2015,2A
2448215,90 BICKFORD ST,JAMAICA PLAIN,PARKER ST,1/7/2015,1
2447717,157 TAHANTO RD,POCASSET,POCAHONTAS RD,1/7/2015,1
2459942,8 CHARNOCK ST,BEVERLY,PIERCE AVE,1/7/2015,1
2463583,7 NEWBURY ST,BEVERLY,PEARL ST,1/7/2015,1
2460218,11 NORTH AVE,HAVERHILL,MACON AVE,1/7/2015,1
2459501,13 BISHOP ST,JAMAICA PLAIN,NEWBERN ST,1/7/2015,1
2460989,14 MCCALL ST,MEDFORD,FULTON ST,1/7/2015,1
2462867,105 HAWTHORNE RD,WALTHAM,SARTELL RD,1/7/2015,1
1788607,29 CIRCUIT ST,ROXBURY,HERMAN ST,1/8/2015,2
2467489,4 EMERSON DR,ACTON,ALCOTT ST,1/8/2015,1
2461544,85 EUTAW ST,EAST BOSTON,BROOKS ST,1/8/2015,1
2455150,30 JOYCE RD,WAYLAND,KEITH RD,1/8/2015,1
2472746,2 COT HILL RD,BEDFORD,BALSAM DR,1/8/2015,1
2477293,11 MORRISON RD,BRAINTREE,ADAMS ST,1/8/2015,1
2473602,6 LAUREL HILL CT,BUZZARDS BAY,BROOKSIDE RD,1/8/2015,1
2473658,BARLOW ST,JAMAICA PLAIN,WACHUSETT ST,1/8/2015,1
2479166,35 CHARLOTTE FURNACE RD,WEST WAREHAM,JUDITH ST,1/8/2015,1
2467985,483 MAIN ST,WEYMOUTH,NASH RD,1/8/2015,1
2335143,10 CEDAR ST,BEVERLY,ESSEX ST,1/9/2015,2A
2370882,121 WEBSTER AVE,CHELSEA,SUMMIT AVE,1/9/2015,1
2450308,2 MARKHAM CIR,AYER,HARVARD RD,1/9/2015,1
2477404,6 NEAL RD,DANVERS,LOCUST ST,1/9/2015,1
2475970,7 COMMONWEALTH AVE,SALISBURY,BEACON ST,1/9/2015,1
2489076,BOYLSTON ST,BOSTON,CLARENDON ST,1/9/2015,1
2494852,21 PLEASANT ST,COHASSET,JAMES LN,1/9/2015,1
2486543,14 DANA ST,LYNN,WILLIAMS AVE,1/9/2015,1
2484448,200 COLLEGE AVE,MEDFORD,BOSTON AVE,1/9/2015,1
2527152,1789 BEACON ST,BROOKLINE,WARWICK RD,1/9/2015,1
2483842,10 AUBURNDALE AVE,NEWTON,RIVER ST,1/10/2015,1
2485441,621 E 5TH ST,SOUTH BOSTON,L ST,1/10/2015,1
2504593,81 WILLOW ST,CHELSEA,WATTS ST,1/10/2015,1
2502502,20 S NEW ST,HAVERHILL,FRONT ST,1/10/2015,1
2501566,70 BUENA VISTA ST,SWAMPSCOTT,BURPEE RD,1/10/2015,1
2496008,135 STIMSON ST,WEST ROXBURY,PLEASANTDALE RD,1/10/2015,1
2507785,54 KEITH ST,WEST ROXBURY,CARROLL ST,1/10/2015,1
2508172,138 ARLINGTON RD,WOBURN,BUCKMAN ST,1/10/2015,1
7322589,2 COLEBROOK ST,SOUTH BOSTON,H ST,1/11/2015,1
7322593,59 HULL ST,BOSTON,N HUDSON ST,1/11/2015,1
2500182,159 ELM ST,MEDFORD,HAINES ST,1/11/2015,1
2507951,6 CHAMBERLAIN RD,NEWTON,FARLOW RD,1/11/2015,1
2506024,507 SUMMER ST,ROCKLAND,CONDON CIR,1/11/2015,1
2514005,1480 COMMONWEALTH AVE,BRIGHTON,COMMONWEALTH TER,1/11/2015,1
2513729,64 PLAINFIELD ST,NEWTON,UPLAND RD,1/11/2015,1
2154263,119 WASHINGTON ST,DORCHESTER,COLUMBIA RD,1/12/2015,1
2475749,6 EDNA RD,DORCHESTER,GRANITE AVE,1/12/2015,1
2487094,24 GARDNER ST,WALTHAM,GORHAM ST,1/12/2015,1
2512738,104 SUMMER ST,HINGHAM,BARNES RD,1/12/2015,1
2516866,70 PROSPECT PIKE,NEWTON,PROSPECT TER,1/12/2015,1
2530251,49 LIVINGSTONE AVE,BEVERLY,ROWELL AVE,1/12/2015,1
2533995,26 KAZIMER DR,BILLERICA,NOLTE RD,1/12/2015,1
2530582,196 W BROOKLINE ST,BOSTON,WARREN AVE,1/12/2015,1
2535205,89 HANCOCK ST,BRAINTREE,FREDERICK RD,1/12/2015,1
2528146,97 MOUNT PLEASANT AVE,GLOUCESTER,HIGHLAND CT,1/12/2015,1
2528203,52 WARREN ST,MEDFORD,MADISON ST,1/12/2015,1
2534106,193 WILLIS AVE,MEDFORD,WILLARD AVE,1/12/2015,1
2529920,2133 COMMONWEALTH AVE,NEWTON,MELROSE ST,1/12/2015,1
2529699,54 NEWTON AVE,QUINCY,WARREN AVE,1/12/2015,1
2529643,1154 WHIPPLE RD,TEWKSBURY,CHANDLER ST,1/12/2015,2A
2532454,520 WAVERLY OAKS RD,WALTHAM,SHIRLEY RD,1/12/2015,1
2528314,47 PROPRIETORS WAY,WELLESLEY,WALNUT ST,1/12/2015,1
286319,107 SCHOFIELD AV,DUDLEY,,1/13/2015,1
1656815,425 DORCHESTER AVE,SOUTH BOSTON,D ST,1/13/2015,2
2208600,HAMMOND POND PKY,NEWTON,BOYLSTON ST,1/13/2015,1
2295566,167 HAMILTON ST,DORCHESTER,BOWDOIN ST,1/13/2015,2
2307027,3540 WASHINGTON ST,JAMAICA PLAIN,BURNETT ST,1/13/2015,1
2362735,49 WILKINS RD,BRAINTREE,DOBSON RD,1/13/2015,2
2393287,848 WASHINGTON ST,WEYMOUTH,STILLMAN ST,1/13/2015,2
2418924,130 NORTHAMPTON ST,BOSTON,WASHINGTON ST,1/13/2015,1
2459493,117 2ND ST,LEOMINSTER,WATER ST,1/13/2015,1
2485385,12 HUNT ST,READING,EASEMENT OFF VINE ST,1/13/2015,2
2486487,201 CAMBRIDGE ST,BRIGHTON,SORRENTO ST,1/13/2015,1
2537409,133 HOWARD ST,BRAINTREE,SHAW ST,1/13/2015,1
2535097,608 WINTHROP ST,MEDFORD,PLAYSTEAD RD,1/13/2015,1
2528851,483 SOUTHAMPTON ST,SOUTH BOSTON,ELLERY ST,1/13/2015,1
2537465,5 NANSET RD,WEYMOUTH,WADAGA RD,1/13/2015,1
2548060,103 RIPLEY RD,COHASSET,SMITH PL,1/13/2015,1
2542044,1792 DORCHESTER AVE,DORCHESTER,SHEPTON ST,1/13/2015,1
2544587,34 BULOW RD,HINGHAM,FOTTLER RD,1/13/2015,1
2546408,194 LINCOLN ST,HINGHAM,CROW POINT LN,1/13/2015,1
2546297,2 CUSHING ST,HULL,SPRING ST,1/13/2015,1
2542322,63 GROVE ST,SALEM,B,1/13/2015,1
2541100,10 LIVINGSTON RD,WELLESLEY,DOVER RD,1/13/2015,1
841826,1441 BEACON ST,BROOKLINE,MARION ST,1/14/2015,2
1653395,54 GLEN RD,JAMAICA PLAIN,ROCKY NOOK TER,1/14/2015,3
2471617,26 MAIN ST,ROWLEY,PROSPECT ST,1/14/2015,2A
2435534,1176 BUMPS RIVER RD,CENTERVILLE,RAINBOW DR,1/14/2015,2
2447108,9 FARRAGUT RD,SWAMPSCOTT,MONUMENT AVE,1/14/2015,3
2461762,1441 BEACON ST,BROOKLINE,MARION ST,1/14/2015,1
2558541,48 MONUMENT AVE,CHARLESTOWN,WARREN ST,1/14/2015,1
2541764,22 QUINCY AVE,BRAINTREE,COMMERCIAL ST,1/14/2015,1
2543924,QUINCY ST,DORCHESTER,COLUMBIA RD,1/14/2015,1
2545525,559 DUDLEY ST,DORCHESTER,E COTTAGE ST,1/14/2015,1
2544973,6 BROOKLINE AVE,LYNN,TIMSON ST,1/14/2015,1
2541987,185 ROOSEVELT AVE,NORWOOD,ADAMS ST,1/14/2015,1
2543425,195 E SQUANTUM ST,QUINCY,HOLYOKE ST,1/14/2015,1
2551032,174 TREMONT ST,BOSTON,AVERY ST,1/14/2015,1
2553950,6 BEACON ST,BOSTON,TREMONT PL,1/14/2015,1
2556276,465 COLUMBUS AVE,BOSTON,COLUMBUS SQ,1/14/2015,1
2554117,4 DANIA TER,DORCHESTER,DANIA ST,1/14/2015,1
2555943,3 ROBINWOOD CIR,FORESTDALE,COUNTRY FARM RD,1/14/2015,1
2556476,34 OAKLAND AVE,LYNN,DELL CT,1/14/2015,1
2554006,18 GRANVILLE AVE,MALDEN,SEAVIEW AVE,1/14/2015,2A
2555887,204 HARVARD ST,MEDFORD,BENTON RD,1/14/2015,1
2558344,185 ROOSEVELT AVE,NORWOOD,ADAMS ST,1/14/2015,1
2554670,NORTON RD,QUINCY,HOBOMACK RD,1/14/2015,1
2562837,2 EDGEMERE RD,QUINCY,WOODWARD AVE,1/14/2015,1
2550316,55 APPLETON ST,SALEM,NURSERY ST,1/14/2015,1
2554559,770 E 4TH ST,SOUTH BOSTON,M ST,1/14/2015,1
2554671,41 MORSE ST,WATERTOWN,N PARK ST,1/14/2015,1
279105,71 CROSS ST,READING,,1/15/2015,2
322358,57 CROSS ST,READING,SHACKFORD RD,1/15/2015,3
347764,95 CAROLINA AVE,JAMAICA PLAIN,VERONA ST,1/15/2015,2A
1591162,BOYLSTON ST,BROOKLINE,CLARK RD,1/15/2015,3
1656833,71 GLEN RD,JAMAICA PLAIN,GLENSIDE AVE,1/15/2015,2
1770227,401 BOYLSTON ST,BROOKLINE,KENNARD RD,1/15/2015,2
2351108,11 ALDWORTH ST,JAMAICA PLAIN,CENTRE ST,1/15/2015,2
2265185,49 STORRS AVE,BRAINTREE,BESTICK RD,1/15/2015,2
2545414,212 SHAW AVE,ABINGTON,COLONIAL RD,1/15/2015,1
2546131,133 TEMPLE ST,NEWTON,BERKELEY ST,1/15/2015,1
2543980,85 BLUE HILL AVE,ROXBURY,STAFFORD ST,1/15/2015,1
2543369,12 BRISTOW ST,SAUGUS,BARRESSI LN,1/15/2015,1
2556663,ZANA PARK RD,BRAINTREE,LIBERTY ST,1/15/2015,1
2554448,401 BOYLSTON ST,BROOKLINE,KENNARD RD,1/15/2015,1
2554672,200 PRESIDENTS LN,QUINCY,LAWTON RD,1/15/2015,1
2559425,10 HAMDEN CIR,QUINCY,WILLET ST,1/15/2015,1
2558818,146 HUMPHREY ST,SWAMPSCOTT,REDINGTON ST,1/15/2015,1
2559756,322 MOODY ST,WALTHAM,SPRUCE ST,1/15/2015,1
2568473,DUNHAM RD,BILLERICA,PLANK ST,1/15/2015,1
2571730,195 BAY STATE RD,BOSTON,GRANBY ST,1/15/2015,1
2574264,205 BAY STATE RD,BOSTON,GRANBY ST,1/15/2015,1
2567859,547 COLUMBIA RD,DORCHESTER,ARION ST,1/15/2015,1
2569356,27 MASSACHUSETTS AVE,HARVARD,AYER RD,1/15/2015,1
2568361,95 CAROLINA AVE,JAMAICA PLAIN,VERONA ST,1/15/2015,1
2567188,586 ABBOTT AVE,LEOMINSTER,LELAND AVE,1/15/2015,1
