TOWN,STATE,ADDRESS,INTERSECTING STREET,DATE REPAIRED,LEAK GRADE,NOTE
DEDHAM,MA,154 EAST,,7/20/2016,1,
FRAMINGHAM,MA, CONCORD,@ ABERDEEN RD,6/7/2016,1,
FRAMINGHAM,MA, CONCORD,@ ABERDEEN RD,7/24/2016,1,
WESTWOOD,MA, BRIAR,@ ALDER RD,6/27/2016,1,
MILLBURY,MA, THOMAS HILL,@ ALDRICH AVE,8/23/2016,2,
MILLBURY,MA, THOMAS HILL,@ ALDRICH AVE,8/23/2016,2,
CAMBRIDGE,MA, BREWSTER,@ APPLETON ST,1/7/2016,2,
HUDSON,MA, LINCOLN,@ APSLEY ST,4/6/2016,2,
WORCESTER,MA, SUNDERLAND,@ ARBORWOOD DR,3/22/2016,1,
WORCESTER,MA, FARNUM,@ BANCROFT,1/6/2016,1,
CAMBRIDGE,MA, PROSPECT,@ BISHOP ALLEN,4/20/2016,2,
CAMBRIDGE,MA, LEXINGTON,@ BRATTLE ST,12/1/2016,2,
CAMBRIDGE,MA, APPLETON,@ BREWSTER RD,1/7/2016,1,
WORCESTER,MA, WEST BOYLSTON,@ BROOK ST,7/27/2016,1,
NEW BEDFORD,MA, ACUSHNET,@ BROOKLAWN ST,12/10/2016,2,
CAMBRIDGE,MA, HAMPSHIRE,@ CAMBRIDGE ST,3/22/2016,2,
NEW BEDFORD,MA, ROCKDALE,@ CARROLL ST,3/9/2016,2,
WORCESTER,MA, SEVER,@ CEDAR ST,2/1/2016,2,
FRAMINGHAM,MA, CENTRAL,@ CENTENNIAL PL,4/5/2016,1,
HOLLISTON,MA, FISKE,@ CENTRAL,11/22/2016,2,
FRAMINGHAM,MA, CENTENNIAL,@ CENTRAL ST,4/5/2016,1,
WORCESTER,MA, MAIN,@ CHANDLER ST,5/2/2016,1,
CAMBRIDGE,MA, HANCOCK,@ CHATHAM ST,9/10/2016,2,
SOMERVILLE,MA, ELM,@ CHESTER ST,2/15/2016,1,
FRAMINGHAM,MA, EDWARDS,@ CHESTNUT ST,7/19/2016,1,
WORCESTER,MA, PASADENA,@ CHINO AVE,8/22/2016,2,
NEW BEDFORD,MA, TARKILN HILL,@ CHURCH ST,1/4/2016,3,
WORCESTER,MA, CLAY,@ COLLEGE ST,7/28/2016,1,
NEW BEDFORD,MA, LONGWOOD,@ COMM AVE,12/13/2016,2,
FRAMINGHAM,MA, WATER,@ COSTA CIR,1/6/2016,2,
NEW BEDFORD,MA, STUDLEY,@ COUNTY ST,1/22/2016,2,
FRAMINGHAM,MA, ANGELICA,@ CURRIER DR,5/15/2016,1,
FRAMINGHAM,MA, ANGELICA,@ CURRIER DR,8/2/2016,2,
FRAMINGHAM,MA, GRANT,@ DAVIS ST,2/10/2016,2,
CAMBRIDGE,MA, PEARL,@ DECATUR ST,12/3/2016,2,
FRAMINGHAM,MA, UNION,@ DELOSS ST,11/14/2016,2,
SUTTON,MA, PROVIDENCE,@ DEPOT ST,10/13/2016,1,
CAMBRIDGE,MA, HAMPSHIRE,@ DICKINSON ST,6/2/2016,2,
WORCESTER,MA, QUINAPOXET,@ E. MOUNTAIN ST,11/16/2016,2,
NEEDHAM,MA, GREAT PLAIN,@ ELLICOTT ST,4/29/2016,2,
MARLBORO,MA, HOWLAND,@ ELM ST,9/28/2016,1,
MILLBURY,MA, WEST MAIN,@ ELMWOOD ST,11/2/2016,1,
MARLBORO,MA, EDINBORO,@ EXETER ST,1/27/2016,2,
DEDHAM,MA, BRIDGE,@ FAIRFIELD ST,2/16/2016,2,
WORCESTER,MA, MAY,@ FAIRFIELD ST,12/29/2016,1,
WORCESTER,MA, INSTITUTE,@ FARNUM ST,1/15/2016,2,
DARTMOUTH,MA, CROSS,@ FAUNCE,7/27/2016,1,
HOLLISTON,MA,1657 WASHINGTON,@ FIRST ST,12/14/2016,2,
NEW BEDFORD,MA, COUNTY,@ FOREST ST,6/15/2016,1,
CAMBRIDGE,MA, MEMORIAL,@ FOWLER ST,2/2/2016,2,
NEEDHAM,MA, HIGH ROCK,@ FRANCES ST,11/23/2016,2,
NEW BEDFORD,MA, PLEASANT,@ FRANKLIN ST,11/2/2016,2,
CAMBRIDGE,MA, BROADWAY,@ GALILEO WAY,3/24/2016,2,
CAMBRIDGE,MA, WALDEN,@ GARDEN ST,9/1/2016,3,
WORCESTER,MA, AIRPORT,@ GODDARD MEM,11/10/2016,2,
WORCESTER,MA, DANA,@ GRAFTON ST,11/29/2016,1,
MAYNARD,MA, MILL,@ GREAT RD,10/4/2016,2,
CAMBRIDGE,MA, PEARL,@ GREEN ST,8/26/2016,1,
WORCESTER,MA, MASSASOIT,@ GREENFIELD ST,11/1/2016,1,
NEEDHAM,MA, CENTRAL,@ HAMILTON PL,9/13/2016,1,
WORCESTER,MA, HARRINGTON,@ HAMILTON ST,2/2/2016,2,
FAIRHAVEN,MA, ADAMS,@ HEDGE ST,1/5/2016,3,
WORCESTER,MA, MASSASOIT,@ HEYWOOD ST,3/28/2016,1,
WESTBOROUGH,MA, EAST MAIN,@ HIGH ST,2/5/2016,1,
SOMERVILLE,MA, CEDAR,@ HIGHLAND AVE,9/1/2016,1,
WORCESTER,MA, LANCASTER,@ HIGHLAND ST,5/11/2016,2,
NEW BEDFORD,MA, BELLEVILLE,@ HOLLY ST,11/10/2016,2,
HOLLISTON,MA, WASHINGTON,@ HOPPING BROOK,1/7/2016,2,
NEW BEDFORD,MA, ACUSHNET,@ HOWLAND ST,2/1/2016,1,
CAMBRIDGE,MA, MASSACHUSETTS,@ HUDSON ST,6/27/2016,2,
NEEDHAM,MA, WEST,@ HUNNEWELL ST,8/5/2016,1,
NEW BEDFORD,MA, COMMONWEALTH,@ HUNTINGTON,3/3/2016,2,
WORCESTER,MA, GROVE,@ INDIAN LAKE,5/6/2016,2,
DEDHAM,MA, RUSTCRAFT,@ IVERSON WAY,8/8/2016,1,
