ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE RECORDED,GRADE
cb5432a29c5e155893c2a6c3ddd6866e,1 BROOKVALE FRAMINGHAM MA,1 BROOKVALE,FRAMINGHAM,,10/30/2014,3
d74d6128830104138580f733563d5637,1 BUSINESS DEDHAM MA,1 BUSINESS,DEDHAM,,12/02/2016,3
a698081eb671a5af4ea006bb171aedd0,1 CANAL MILLBURY MA,1 CANAL,MILLBURY,,06/14/2016,3
1a935d3696e6229d491b7ccd1c66b90e,1 DALLAS DARTMOUTH MA,1 DALLAS,DARTMOUTH,,08/26/2014,3
88c58b24d0523ea38f15d1576da7cf7d,1 ELM NORTHBRIDGE MA,1 ELM,NORTHBRIDGE,,04/27/2016,3
52d0e879954ae12afc33da8fc37d4e46,1 ERIC DARTMOUTH MA,1 ERIC,DARTMOUTH,,06/06/2014,3
9617a8c1d2d404d2022f3713ee469352,1 FOLLEN CAMBRIDGE MA,1 FOLLEN,CAMBRIDGE,,06/08/2016,3
bf1c0904ef893db339f0314dddd1944a,1 GRAY GARDENS EAST CAMBRIDGE MA,1 GRAY GARDENS EAST,CAMBRIDGE,,08/16/2016,3
10ca7f3eea53341bb19ab6fe1d6ff82f,1 GUILD WORCESTER MA,1 GUILD,WORCESTER,,12/04/2014,3
cf66f469b0d09bb10b2c44aba3d4a0cc,1 HOLLIS CAMBRIDGE MA,1 HOLLIS,CAMBRIDGE,,12/13/2016,3
25ea661c921a91a1864be99f7bc7ba58,1 IONIC WORCESTER MA,1 IONIC,WORCESTER,,11/03/2015,3
881a8fec1f5633c7293a1fb5962a75a4,1 JOHN WINTHROP DARTMOUTH MA,1 JOHN WINTHROP,DARTMOUTH,,12/22/2016,3
d9bb7982394f6332475c77abb1af62dc,1 KELLEY WORCESTER MA,1 KELLEY,WORCESTER,,12/16/2014,3
64d6197cad50a5e23ff3626f60164450,1 KNOX WORCESTER MA,1 KNOX,WORCESTER,,11/04/2016,3
daa8cd0a0b0e95d9623f514b94d4accf,1 LEWISTON HYDE PARK MA,1 LEWISTON,HYDE PARK,,12/04/2014,3
