ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE REPAIRED,GRADE
caba43e78ce7d716e60536d81ed3e8a5,1 ADDUCI WAY HULL MA,1 ADDUCI WAY,HULL,,4/10/16,1
91155e5464702f52c08c85e017aea9d3,1 AINSLEY ST DORCHESTER MA,1 AINSLEY ST,DORCHESTER,,6/9/16,1
c5bfa9012b0d6b308e9fcdd07ca33f02,1 APRIL LN WESTON MA,1 APRIL LN,WESTON,,12/30/16,2A
bbb3fa1b5765125377f9742d6e0be67e,1 ATLANTIC AVE REVERE MA,1 ATLANTIC AVE,REVERE,,6/24/16,1
37dc5f427445f741f4f821b702bb4b05,1 BEACON ST BOSTON MA,1 BEACON ST,BOSTON,,8/31/16,1
e580e61baf0cecfae1a376b6d6a334cb,1 BERWICK RD MEDFORD MA,1 BERWICK RD,MEDFORD,,6/10/16,2A
8b432f191814c9b076c157d2d0b75537,1 BOW ST SALEM MA,1 BOW ST,SALEM,,10/10/16,1
997000a2ba4d359d4e180f34cf6c006c,1 BOW ST WELLESLEY MA,1 BOW ST,WELLESLEY,,7/14/16,1
17993e16604242972b61b3eef206cb97,1 BROOK RD QUINCY MA,1 BROOK RD,QUINCY,,3/22/16,2
c1bc965f318f5a72bca7c2a2e678b22a,1 CEDARDALE RD LYNN MA,1 CEDARDALE RD,LYNN,,3/17/16,2
b3d913748b2eabe7d331ff0ac3143b3f,1 CENTRE AVE DORCHESTER MA,1 CENTRE AVE,DORCHESTER,,8/24/16,2
13c77a706761677c3cf3076a1a266aa2,1 CHASE ST LYNN MA,1 CHASE ST,LYNN,,12/29/16,1
729421fa362949a24eadf330db511c53,1 CHELSEA TER EAST BOSTON MA,1 CHELSEA TER,EAST BOSTON,,9/6/16,1
c6d159073c6b07a73d12193c862e5276,1 CHURCH ST AYER MA,1 CHURCH ST,AYER,,9/8/16,3
2412cfa24e8eaa56bd670979ba012785,1 CRESCENT ST WELLESLEY MA,1 CRESCENT ST,WELLESLEY,,2/16/16,1
ba4b4d3053648da5117fff98decdf65f,1 DARTMOUTH ST PEABODY MA,1 DARTMOUTH ST,PEABODY,,12/14/16,2
9131de1728dfa9a8c9f68ecc61f4ef3c,1 E MAIN ST AYER MA,1 E MAIN ST,AYER,,10/20/16,2
f720ee5373c74bb5736a5f943bc403e0,1 ELIOT AVE BROOKLINE MA,1 ELIOT AVE,BROOKLINE,,3/18/16,2
a1730256bfb6e2f506b54d07a98aa964,1 HARTWELL RD BEDFORD MA,1 HARTWELL RD,BEDFORD,,3/21/16,1
b9b026070649fe031e83f677854af920,1 HARWICH ST SAUGUS MA,1 HARWICH ST,SAUGUS,,10/19/16,2
36946da47fdf69ad5b86355391739d6b,1 HAWTHORNE ST HINGHAM MA,1 HAWTHORNE ST,HINGHAM,,12/22/16,2
f847710315cc647345f6ccdc471511b6,1 HIGGINS ST ARLINGTON MA,1 HIGGINS ST,ARLINGTON,,10/19/16,1
2d138db4a5524a1995723244af04368d,1 HOLDEN ROW CHARLESTOWN MA,1 HOLDEN ROW,CHARLESTOWN,,4/23/16,1
80e497326c9d25684ba9aeecb3fd0bb3,1 HOLLY ST HINGHAM MA,1 HOLLY ST,HINGHAM,,1/29/16,1
80e497326c9d25684ba9aeecb3fd0bb3,1 HOLLY ST HINGHAM MA,1 HOLLY ST,HINGHAM,,1/29/16,1
5f1d166badf2135ff253cc302719b673,1 HOLLY ST HINGHAM MA,1 HOLLY ST,HINGHAM,,12/30/16,2
87256ca68b4d91fa0cc03b1340d7da0e,1 INWOOD DR READING MA,1 INWOOD DR,READING,,12/1/16,1
