ID,COMPOUND ADDRESS,ADDRESS,TOWN,INTERSECTION,DATE REPAIRED,GRADE
e8708da85961c1cb41e42235c496bbae,154 EAST DEDHAM MA,154 EAST,DEDHAM,,7/20/2016,1
c8cc1fe4ccb987c470c9f2a81375ba73,CONCORD AND ABERDEEN RD FRAMINGHAM MA, CONCORD,FRAMINGHAM,@ ABERDEEN RD,6/7/2016,1
ba6cae1367a38eedbf1a895b50411815,CONCORD AND ABERDEEN RD FRAMINGHAM MA, CONCORD,FRAMINGHAM,@ ABERDEEN RD,7/24/2016,1
e470cd3c58da1991c8cb377c90785198,BRIAR AND ALDER RD WESTWOOD MA, BRIAR,WESTWOOD,@ ALDER RD,6/27/2016,1
8b35320c7f241e45c87669929746148b,THOMAS HILL AND ALDRICH AVE MILLBURY MA, THOMAS HILL,MILLBURY,@ ALDRICH AVE,8/23/2016,2
8b35320c7f241e45c87669929746148b,THOMAS HILL AND ALDRICH AVE MILLBURY MA, THOMAS HILL,MILLBURY,@ ALDRICH AVE,8/23/2016,2
1711c94725fcc770337531b673740a50,BREWSTER AND APPLETON ST CAMBRIDGE MA, BREWSTER,CAMBRIDGE,@ APPLETON ST,1/7/2016,2
da64a773f70a93299fd3b780a434836c,LINCOLN AND APSLEY ST HUDSON MA, LINCOLN,HUDSON,@ APSLEY ST,4/6/2016,2
bc1e9f235c9c3cc59314e45b8e1f888b,SUNDERLAND AND ARBORWOOD DR WORCESTER MA, SUNDERLAND,WORCESTER,@ ARBORWOOD DR,3/22/2016,1
2e2b6db374a1e6668539e7fcf0a68518,FARNUM AND BANCROFT WORCESTER MA, FARNUM,WORCESTER,@ BANCROFT,1/6/2016,1
7f86e5b544167b2816aecd3348a850ec,PROSPECT AND BISHOP ALLEN CAMBRIDGE MA, PROSPECT,CAMBRIDGE,@ BISHOP ALLEN,4/20/2016,2
18813bdeb9de4e6dccc8c4586ca602ec,LEXINGTON AND BRATTLE ST CAMBRIDGE MA, LEXINGTON,CAMBRIDGE,@ BRATTLE ST,12/1/2016,2
79426af6e49d2a051a4c7c6e11e1bdc8,APPLETON AND BREWSTER RD CAMBRIDGE MA, APPLETON,CAMBRIDGE,@ BREWSTER RD,1/7/2016,1
a3ea6df0b4af6862ee082c5628d62e2c,WEST BOYLSTON AND BROOK ST WORCESTER MA, WEST BOYLSTON,WORCESTER,@ BROOK ST,7/27/2016,1
49504136545d25bacfe8f6dd184e6164,ACUSHNET AND BROOKLAWN ST NEW BEDFORD MA, ACUSHNET,NEW BEDFORD,@ BROOKLAWN ST,12/10/2016,2
9e1844cb284fe987e6ebbf1d225cd2d2,HAMPSHIRE AND CAMBRIDGE ST CAMBRIDGE MA, HAMPSHIRE,CAMBRIDGE,@ CAMBRIDGE ST,3/22/2016,2
7fe66182821a57c50d7e206cc608e6b4,ROCKDALE AND CARROLL ST NEW BEDFORD MA, ROCKDALE,NEW BEDFORD,@ CARROLL ST,3/9/2016,2
3cc962bd27ebb4b8134ec17f1fb68754,SEVER AND CEDAR ST WORCESTER MA, SEVER,WORCESTER,@ CEDAR ST,2/1/2016,2
ef79be4109451824c945feabef0f323e,CENTRAL AND CENTENNIAL PL FRAMINGHAM MA, CENTRAL,FRAMINGHAM,@ CENTENNIAL PL,4/5/2016,1
193a9d7ba259cf0ab349d7a9e4a422ab,FISKE AND CENTRAL HOLLISTON MA, FISKE,HOLLISTON,@ CENTRAL,11/22/2016,2
7971ec4f4305b4a3fbb955ff33961a73,CENTENNIAL AND CENTRAL ST FRAMINGHAM MA, CENTENNIAL,FRAMINGHAM,@ CENTRAL ST,4/5/2016,1
f5663b26a12c73c87abe8a1c5f58cb21,MAIN AND CHANDLER ST WORCESTER MA, MAIN,WORCESTER,@ CHANDLER ST,5/2/2016,1
a9706370d7055cf3383ad1be0df7dae1,HANCOCK AND CHATHAM ST CAMBRIDGE MA, HANCOCK,CAMBRIDGE,@ CHATHAM ST,9/10/2016,2
044979ac7311d4b5a4dde07ebb6ff1fd,ELM AND CHESTER ST SOMERVILLE MA, ELM,SOMERVILLE,@ CHESTER ST,2/15/2016,1
573dceb23344b3d66f8b291d1ce24763,EDWARDS AND CHESTNUT ST FRAMINGHAM MA, EDWARDS,FRAMINGHAM,@ CHESTNUT ST,7/19/2016,1
ec7354cd8959ceafae63e58254e920fa,PASADENA AND CHINO AVE WORCESTER MA, PASADENA,WORCESTER,@ CHINO AVE,8/22/2016,2
1d04b32d0c27a1b3022377fda586b559,TARKILN HILL AND CHURCH ST NEW BEDFORD MA, TARKILN HILL,NEW BEDFORD,@ CHURCH ST,1/4/2016,3
111405fb8b89519785436d85275458ab,CLAY AND COLLEGE ST WORCESTER MA, CLAY,WORCESTER,@ COLLEGE ST,7/28/2016,1
8b0415fefa1217e16f228f10878cf4d7,LONGWOOD AND COMM AVE NEW BEDFORD MA, LONGWOOD,NEW BEDFORD,@ COMM AVE,12/13/2016,2
78eb90920a3258d30cdd8859a71e2750,WATER AND COSTA CIR FRAMINGHAM MA, WATER,FRAMINGHAM,@ COSTA CIR,1/6/2016,2
3b58dce75f3977fbd36d068ab2041f42,STUDLEY AND COUNTY ST NEW BEDFORD MA, STUDLEY,NEW BEDFORD,@ COUNTY ST,1/22/2016,2
0bbb2f8976b08197a5423129895f5b33,ANGELICA AND CURRIER DR FRAMINGHAM MA, ANGELICA,FRAMINGHAM,@ CURRIER DR,5/15/2016,1
4ac0fdebeec5ffd332b00b228944c0fc,ANGELICA AND CURRIER DR FRAMINGHAM MA, ANGELICA,FRAMINGHAM,@ CURRIER DR,8/2/2016,2
534f967807f8da8b9e000b90c8b71282,GRANT AND DAVIS ST FRAMINGHAM MA, GRANT,FRAMINGHAM,@ DAVIS ST,2/10/2016,2
a30c2cd1f8cdcc0b2bd6d8187e702d0a,PEARL AND DECATUR ST CAMBRIDGE MA, PEARL,CAMBRIDGE,@ DECATUR ST,12/3/2016,2
91d5f80718ccd481af4810d1e6fe5f47,UNION AND DELOSS ST FRAMINGHAM MA, UNION,FRAMINGHAM,@ DELOSS ST,11/14/2016,2
3d8a81114b699f75f573ded177f14e8a,PROVIDENCE AND DEPOT ST SUTTON MA, PROVIDENCE,SUTTON,@ DEPOT ST,10/13/2016,1
d51a16b9a2e16ac3e3d4d8f2132476d8,HAMPSHIRE AND DICKINSON ST CAMBRIDGE MA, HAMPSHIRE,CAMBRIDGE,@ DICKINSON ST,6/2/2016,2
a3125ffce885dfa7f686567f613e8e95,QUINAPOXET AND E. MOUNTAIN ST WORCESTER MA, QUINAPOXET,WORCESTER,@ E. MOUNTAIN ST,11/16/2016,2
fea5d9bef135e3d10dff347f90dbea0b,GREAT PLAIN AND ELLICOTT ST NEEDHAM MA, GREAT PLAIN,NEEDHAM,@ ELLICOTT ST,4/29/2016,2
ddf03e3962e70b4239e89afdb51b88b1,HOWLAND AND ELM ST MARLBORO MA, HOWLAND,MARLBORO,@ ELM ST,9/28/2016,1
eaabcfa6d8ecf4d523d3b2f8bf5e7be0,WEST MAIN AND ELMWOOD ST MILLBURY MA, WEST MAIN,MILLBURY,@ ELMWOOD ST,11/2/2016,1
c25b1b68ac148d4959ba9e9098264045,EDINBORO AND EXETER ST MARLBORO MA, EDINBORO,MARLBORO,@ EXETER ST,1/27/2016,2
2920e887ca6d0260ba44038ec4a1284f,BRIDGE AND FAIRFIELD ST DEDHAM MA, BRIDGE,DEDHAM,@ FAIRFIELD ST,2/16/2016,2
a9392115b489155b6822b3cffc5b30c2,MAY AND FAIRFIELD ST WORCESTER MA, MAY,WORCESTER,@ FAIRFIELD ST,12/29/2016,1
1b3041ab3634f4b81e25e08c67023dee,INSTITUTE AND FARNUM ST WORCESTER MA, INSTITUTE,WORCESTER,@ FARNUM ST,1/15/2016,2
c06454a9d517780960c1b01fc3e38006,CROSS AND FAUNCE DARTMOUTH MA, CROSS,DARTMOUTH,@ FAUNCE,7/27/2016,1
2db5f94375cb380f3d50040d8c80326a,1657 WASHINGTON AND FIRST ST HOLLISTON MA,1657 WASHINGTON,HOLLISTON,@ FIRST ST,12/14/2016,2
2bb6a8228bf7973e12cbd198ec5ed145,COUNTY AND FOREST ST NEW BEDFORD MA, COUNTY,NEW BEDFORD,@ FOREST ST,6/15/2016,1
f26f493211f9915894347d009aa17203,MEMORIAL AND FOWLER ST CAMBRIDGE MA, MEMORIAL,CAMBRIDGE,@ FOWLER ST,2/2/2016,2
8e9100439c2a46d23fbe5d1195d47286,HIGH ROCK AND FRANCES ST NEEDHAM MA, HIGH ROCK,NEEDHAM,@ FRANCES ST,11/23/2016,2
