Leak #,Reported Address,Cross street,Town,Reported Date,15-SQ-05 Class,16-SQ-05 Class,17-SQ-05 Class,Note,State
337356,0 CATHERINE RD,,MILTON,9/13/10,3,3,3,,MA
307575,0 GATES RD,,PEABODY,1/18/08,3,3,3,,MA
319951,0 LAKE AVE,,GLOUCESTER,3/5/09,3,3,3,,MA
7329855,0 OCEAN AVE,,MARBLEHEAD,10/21/16,Not Discovered Yet,Not Discovered Yet,3,,MA
6980819,0 VINNIN ST,,SALEM,10/16/15,Not Discovered Yet,3,3,,MA
291102,1 ACCORD LN,,HINGHAM,7/31/06,3,3,3,,MA
7324167,1 ALBERT DR,,WOBURN,3/20/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1392029,1 ASHWOOD RD,,ACTON,7/12/12,3,3,3,,MA
257751,1 BALLOU AV,,DORCHESTER,2/27/04,3,3,3,,MA
841276,1 BARNES RD,,HINGHAM,3/27/12,3,3,3,,MA
7327192,1 BARNES RD,,HINGHAM,6/29/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1203795,1 BASKIN RD,,LEXINGTON,4/25/13,3,3,3,,MA
1727611,1 BAY STATE RD,,LYNNFIELD,8/14/14,3,3,3,,MA
336244,1 BEAVER PIKE,,DANVERS,8/12/10,3,3,3,,MA
907621,1 BEAVERBROOK RD,,BURLINGTON,6/18/12,3,3,3,,MA
1065105,1 BEDFORD RD,,LINCOLN,11/11/12,3,3,3,,MA
7330117,1 BENNETT RD,,WAYLAND,11/1/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1183254,1 BROAD ST,,LYNN,3/29/13,3,3,3,,MA
1649434,1 BROWN RD,,SWAMPSCOTT,5/21/14,3,3,3,,MA
1330509,1 BUCHANAN RD,,ROSLINDALE,8/20/13,3,3,3,,MA
303009,1 CALDWELL ST,,WEYMOUTH,7/23/07,3,3,3,,MA
3814827,1 CALLENDER ST,,DORCHESTER,3/20/15,Not Discovered Yet,3,3,,MA
4629812,1 CAREY AVE,,BURLINGTON,6/24/15,Not Discovered Yet,3,3,,MA
250543,1 CAROLINE ST,,BURLINGTON,9/8/03,3,3,3,,MA
1755660,1 CENTER ST,,BURLINGTON,9/23/14,3,3,3,,MA
7322077,1 CENTRAL ST,,NAHANT,12/10/15,Not Discovered Yet,3,3,,MA
1718607,1 CENTURY ST,,SOMERVILLE,8/8/14,3,3,3,,MA
280093,1 CHARLES ST,,STONEHAM,9/28/05,3,3,3,,MA
260880,1 CHESTER BROOK RD,,WALTHAM,6/5/04,3,3,3,,MA
839991,1 CHESTNUT ST,,ARLINGTON,3/24/12,3,3,3,,MA
5590820,1 CHICOPEE ROW,,GROTON,8/19/15,Not Discovered Yet,3,3,,MA
7331096,1 CLARNER RD,,LYNN,3/8/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7323603,1 COLBY RD,,PEABODY,2/19/16,Not Discovered Yet,Not Discovered Yet,3,,MA
3744001,1 COLUMBIA ST,,AYER,8/6/14,Missed,3,3,,MA
1012524,1 COOKE RD,,LEXINGTON,10/2/12,3,3,3,,MA
249848,1 COUGHLIN ST,,ACTON,8/18/03,3,3,3,,MA
7325840,1 DANA RD,,BEDFORD,9/1/15,Not Discovered Yet,Missed 2,3,,MA
441671,1 DEAN RD,,MILTON,10/3/11,3,3,3,,MA
273997,1 E BERKELEY ST,,BOSTON,3/24/05,3,3,3,,MA
271830,1 EDGEHILL RD,,BROOKLINE,2/12/05,3,3,3,,MA
4973762,1 EDWIN ST,,QUINCY,5/18/15,Not Discovered Yet,3,3,,MA
1743897,1 ELM ST,,STONEHAM,8/27/14,3,3,3,,MA
1284247,1 ESSEX ST,,MEDFORD,7/10/13,3,3,3,,MA
7330172,1 FERNALD AVE,,HAVERHILL,11/3/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1371991,1 FOREST RD,,ACTON,3/6/09,3,3,3,,MA
7330119,1 FOREST ST,,WELLESLEY,10/28/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1277662,1 GALEN ST,,WATERTOWN,6/12/13,3,3,3,,MA
7327451,1 GEDICK RD,,BURLINGTON,7/12/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7322288,1 GIDLEY ST,,BURLINGTON,11/27/15,Not Discovered Yet,3,3,,MA
303502,1 GINTY BLVD,,HAVERHILL,8/8/07,3,3,3,,MA
5185648,1 GORDON ST,,MALDEN,7/27/15,Not Discovered Yet,3,3,,MA
1230856,1 GREEN LN,,WESTON,5/16/13,3,3,3,,MA
958725,1 GREENWOOD AVE,,BEVERLY,6/30/12,3,3,3,,MA
1635697,1 GRIST MILL RD,,ACTON,2/7/14,3,3,3,,MA
269232,1 GRIST MILL RD,,LITTLETON,12/3/04,3,3,3,,MA
345202,1 GUEST ST,,BRIGHTON,3/23/11,3,3,3,,MA
265477,1 HAMMOND ST,,BROOKLINE,8/24/04,3,3,3,,MA
5184335,1 HARVARD ST,,PEABODY,8/5/15,Not Discovered Yet,3,3,,MA
249976,1 HEWES CIR,,PEABODY,8/12/03,3,3,3,,MA
1669662,1 HOLBROOK RD,,QUINCY,6/12/14,3,3,3,,MA
1303584,1 HUMPHREYS ST,,DORCHESTER,6/13/13,3,3,3,,MA
5187968,1 KERNWOOD ST,,MALDEN,8/5/15,Not Discovered Yet,3,3,,MA
301283,1 KERWIN ST,,DORCHESTER,5/21/07,3,3,3,,MA
325298,1 LAWN AVE,,QUINCY,8/6/09,3,3,3,,MA
308276,1 LIDO AVE,,BURLINGTON,2/15/08,3,3,3,,MA
1282560,1 LINCOLN CIR,,SWAMPSCOTT,7/1/13,3,3,3,,MA
3436963,1 LORRAINE RD,,MEDFORD,3/24/15,Not Discovered Yet,3,3,,MA
5304250,1 LYNCH ST,,PEABODY,8/14/15,Not Discovered Yet,3,3,,MA
7327977,1 MAIN ST,,LEOMINSTER,8/1/16,Not Discovered Yet,Not Discovered Yet,3,,MA
262455,1 MANSION RD,,MARBLEHEAD,6/29/04,3,3,3,,MA
3724128,1 MARK ST,,MANCHESTER,4/4/15,Not Discovered Yet,3,3,,MA
235503,1 MONATIQUOT AV,,BRAINTREE,9/17/02,3,3,3,,MA
7331128,1 MONUMENT SQ,,BEVERLY,4/22/16,Not Discovered Yet,Not Discovered Yet,3,,MA
235385,1 MUNROE ST,,LYNN,9/11/02,3,3,3,,MA
4970281,1 N SHORE AVE,,PEABODY,7/21/15,Not Discovered Yet,3,3,,MA
324027,1 NATSUE WAY,,MIDDLETON,6/24/09,3,3,3,,MA
4524668,1 NEWBURY ST,,PEABODY,6/19/15,Not Discovered Yet,3,3,,MA
6947971,1 NEWBURY ST,,PEABODY,10/14/15,Not Discovered Yet,3,3,,MA
303776,1 NEWHALL PL,,PEABODY,8/22/07,3,3,3,,MA
1237975,1 NEWTON ST,,WINCHESTER,5/28/13,3,3,3,,MA
7325996,1 NONANTUM ST,,NEWTON,5/10/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7330651,1 NORWICH RD,,PEABODY,11/24/16,Not Discovered Yet,Not Discovered Yet,3,,MA
3870447,1 OAK ST,,WATERTOWN,4/17/15,Not Discovered Yet,3,3,,MA
1392983,1 OAKWOOD RD,,ACTON,7/12/12,3,3,3,,MA
311515,1 PARK AVE,,BRAINTREE,6/19/08,3,3,3,,MA
1639535,1 PEARL ST,,BROOKLINE,5/9/14,3,3,3,,MA
771722,1 PEARTREE DR,,LEXINGTON,1/26/12,3,3,3,,MA
7330571,1 PILGRIM RD,,BEVERLY,5/12/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7329743,1 POPLAR ST,,GLOUCESTER,10/17/16,Not Discovered Yet,Not Discovered Yet,3,,MA
6774297,1 PRESCOTT ST,,CHARLESTOWN,10/9/15,Not Discovered Yet,3,3,,MA
693516,1 QUINOBEQUIN RD,,NEWTON,12/15/11,3,3,3,,MA
7321933,1 SCHOOL ST,,ARLINGTON,12/2/15,Not Discovered Yet,3,3,,MA
346293,1 SPARHAWK DR,,LYNNFIELD,4/11/11,3,3,3,,MA
2570076,1 STONE ROW LN,,GEORGETOWN,12/15/14,3,3,3,,MA
7326150,1 THOMAS BURGIN PKY,,QUINCY,6/1/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7324898,1 THOMAS RD,,BEVERLY,4/20/16,Not Discovered Yet,Not Discovered Yet,2,,MA
7326300,1 THOMAS RD,,BEVERLY,6/1/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7331095,1 TRAPELO RD,,BELMONT,12/27/16,Not Discovered Yet,Not Discovered Yet,3,,MA
2823283,1 VALLEY VIEW RD,,WAYLAND,9/16/14,3,3,3,,MA
7328574,1 VERMONT AVE,,SAUGUS,8/29/16,Not Discovered Yet,Not Discovered Yet,3,,MA
5351481,1 VIDETTA ST,,PEABODY,8/18/15,Not Discovered Yet,3,3,,MA
7323935,1 VIRGINIA ST,,SOMERVILLE,11/16/15,Not Discovered Yet,Missed 2,3,,MA
6748980,1 VISTA CIR,,ARLINGTON,10/2/15,Not Discovered Yet,3,3,,MA
259857,1 W SHORE DR,,MARBLEHEAD,5/18/04,3,3,3,,MA
299292,1 WALLINGFORD RD,,MARBLEHEAD,4/3/07,3,3,3,,MA
121802,1 WARE LN,,MARBLEHEAD,4/8/98,3,3,3,,MA
288241,1 WASHINGTON ST,,WELLESLEY,5/4/06,3,3,3,,MA
1709968,1 WESTOVER DR,,LYNNFIELD,7/31/14,3,3,3,,MA
1277767,1 WOODSTOCK AVE,,BRIGHTON,4/11/13,3,3,3,,MA
6175891,1 WYNOT RD,,BRAINTREE,9/16/15,Not Discovered Yet,3,3,,MA
5123154,10 ARTWILL ST,,MILTON,7/30/15,Not Discovered Yet,3,3,,MA
278058,10 ATLANTIC AV,,WOBURN,8/10/05,3,3,3,,MA
7324252,10 BARTLETT HILL RD,,CONCORD,3/11/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7324832,10 BAY STATE RD,,MELROSE,4/19/16,Not Discovered Yet,Not Discovered Yet,2,,MA
7324670,10 BAYFIELD RD,,QUINCY,7/10/12,Missed 2,Missed 2,3,,MA
305006,10 BEAVER POND RD,,LINCOLN,8/15/07,3,3,3,,MA
1282661,10 BLODGETT AVE,,SWAMPSCOTT,7/1/13,3,3,3,,MA
1668773,10 BOARDMAN LN,,HAMILTON,6/6/14,3,3,3,,MA
260072,10 BODWELL ST,,DORCHESTER,5/5/04,3,3,3,,MA
5321900,10 BOLTON RD,,NEWTON,7/15/15,Not Discovered Yet,3,3,,MA
279680,10 BOXFORD TER,,WEST ROXBURY,9/14/05,3,3,3,,MA
200553,10 BRACKETT ST,,MILTON,11/8/00,3,3,3,,MA
7327961,10 BRAMAN ST,,DANVERS,8/1/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7320927,10 CENTRAL ST,,NAHANT,8/3/15,Not Discovered Yet,3,3,,MA
1779891,10 CHARLEMONT ST,,DORCHESTER,9/27/14,3,3,3,,MA
5303741,10 CHARLES ST,,STONEHAM,8/12/15,Not Discovered Yet,3,3,,MA
1338925,10 CHEEVER AVE,,MARBLEHEAD,5/3/13,3,3,3,,MA
198868,10 CLEVELAND AV,,SAUGUS,10/3/00,3,3,3,,MA
154282,10 COLONIAL AV,,LYNN,8/11/99,3,3,3,,MA
225915,10 CROCKETT AV,,DORCHESTER,1/16/02,3,3,3,,MA
348122,10 CROSS ST,,BEVERLY,6/14/11,3,3,3,,MA
7324486,10 CULLEN AVE,,LEOMINSTER,3/8/16,Not Discovered Yet,Not Discovered Yet,3,,MA
3861209,10 CUTLER FARM RD,,LEXINGTON,4/18/15,Not Discovered Yet,3,3,,MA
7323784,10 DAVIS RD,,BELMONT,1/28/16,Not Discovered Yet,Not Discovered Yet,3,,MA
5322447,10 DUXBURY RD,,WELLESLEY,7/29/15,Not Discovered Yet,3,3,,MA
321704,10 DYSART ST,,QUINCY,4/21/09,3,3,3,,MA
1594281,10 EDGE HILL RD,,MILTON,4/6/14,3,3,3,,MA
1337234,10 EDGEHILL RD,,PEABODY,5/2/13,3,3,3,,MA
427554,10 EDGEMERE RD,,LYNNFIELD,9/11/11,3,3,3,,MA
2824507,10 ELLIOT ST,,WELLESLEY,7/25/14,3,3,3,,MA
1392193,10 FERNWOOD RD,,ACTON,7/12/12,3,3,3,,MA
336448,10 FLETCHER ST,,DANVERS,8/17/10,3,3,3,,MA
326722,10 FOSTER ST,,SOUTHBRIDGE,9/18/09,3,3,3,,MA
7328886,10 FRANK BENNETT HWY,,BEVERLY,9/13/16,Not Discovered Yet,Not Discovered Yet,3,,MA
1520665,10 GALLOWS HILL RD,,SALEM,9/13/13,3,3,3,,MA
120625,10 GLEN CROSS RD,,WELLESLEY,2/10/98,3,3,3,,MA
7321936,10 GLENRIDGE DR,,BEDFORD,12/3/15,Not Discovered Yet,3,3,,MA
339542,10 HANCOCK ST,,ARLINGTON,11/10/10,3,3,3,,MA
1342906,10 HESSELTINE AVE,,MELROSE,9/10/13,3,3,3,,MA
1754397,10 HIGH ST,,MEDFORD,9/18/14,3,3,3,,MA
280001,10 HIGHLAND AV,,LYNNFIELD,9/21/05,3,3,3,,MA
255822,10 HIGHLAND PL,,WEYMOUTH,1/28/04,3,3,3,,MA
1710894,10 HOWARD AVE,,LYNNFIELD,8/4/14,3,3,3,,MA
5569548,10 INGRAHAM RD,,WELLESLEY,7/22/15,Not Discovered Yet,3,3,,MA
7321492,10 JAMES ST,,SOMERVILLE,11/17/15,Not Discovered Yet,3,3,,MA
216371,10 JAPONICA ST,,SALEM,5/1/01,3,3,3,,MA
1418446,10 KENWOOD AVE,,SAUGUS,10/23/13,3,3,3,,MA
1309917,10 KINGSTON RD,,NEWTON,7/22/13,3,3,3,,MA
6980348,10 LANARK RD,,ARLINGTON,10/12/15,Not Discovered Yet,3,3,,MA
296483,10 LANGLEY RD,,NEWTON,12/7/06,3,3,3,,MA
7326196,10 LAURA ST,,LITTLETON,10/14/13,Missed 2,Missed 2,3,,MA
93305,10 LAUREL ST,,SAUGUS,3/2/93,3,3,3,,MA
329677,10 LIVERMORE RD,,WELLESLEY,12/28/09,3,3,3,,MA
4630369,10 LOCUST ST,,BURLINGTON,6/23/15,Not Discovered Yet,3,3,,MA
308862,10 LONE PINE LN,,PEABODY,3/11/08,3,3,3,,MA
299457,10 LOUIS RD,,PEABODY,4/10/07,3,3,3,,MA
6749108,10 MILES STANDISH RD,,MARBLEHEAD,10/9/15,Not Discovered Yet,3,3,,MA
7330744,10 MILK ST,,BOSTON,12/16/16,Not Discovered Yet,Not Discovered Yet,1,,MA
247855,10 MONTROSE ST,,ROXBURY,6/24/03,3,3,3,,MA
7323178,10 MYRNA ST,,BURLINGTON,1/26/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7329368,10 N GROVE ST,,BOSTON,9/27/16,Not Discovered Yet,Not Discovered Yet,2,,MA
348541,10 NAHANTON ST,,NEWTON,7/6/11,3,3,3,,MA
7322585,10 NORTH ST,,TOPSFIELD,12/26/15,Not Discovered Yet,Missed 2,3,,MA
200224,10 OAK ST,,WEYMOUTH,11/2/00,3,3,3,,MA
1217730,10 OAK TER,,NEWTON,5/6/13,3,3,3,,MA
7328143,10 OLD FARM RD,,WAYLAND,8/2/16,Not Discovered Yet,Not Discovered Yet,3,,MA
343294,10 ORCHARD LN,,WAYLAND,1/31/11,3,3,3,,MA
7328375,10 PARKER ST,,CLINTON,8/11/16,Not Discovered Yet,Not Discovered Yet,3,,MA
348465,10 PATRICIA RD,,DANVERS,7/5/11,3,3,3,,MA
97020,10 PEQUOT RD,,PEABODY,3/4/96,3,3,3,,MA
295240,10 PERKINS RD,,WINCHESTER,11/20/06,3,3,3,,MA
5091506,10 PERLEY AVE,,PEABODY,7/30/15,Not Discovered Yet,3,3,,MA
5121215,10 PERLEY AVE,,PEABODY,7/30/15,Not Discovered Yet,3,3,,MA
367481,10 PETER TUFTS RD,,ARLINGTON,8/19/11,3,3,3,,MA
333961,10 PHILIP ST,,BELMONT,6/2/10,3,3,3,,MA
6590843,10 PIGEON HILL RD,,WESTON,9/15/15,Not Discovered Yet,3,3,,MA
1181876,10 PLAIN ST,,BRAINTREE,12/1/12,3,3,3,,MA
1181883,10 PLAIN ST,,BRAINTREE,12/1/12,3,3,3,,MA
347447,10 PLEASANT ST,,NORWOOD,6/8/11,3,3,3,,MA
330284,10 POND ST,,WHITMAN,1/26/10,3,3,3,,MA
3566357,10 POND ST,,WHITMAN,3/26/15,Not Discovered Yet,3,3,,MA
2720069,10 POSSUM RD,,WESTON,1/22/15,3,3,3,,MA
1645625,10 QUARRY LN,,MILTON,5/10/14,3,3,3,,MA
349505,10 RADCLIFFE RD,,WESTON,8/8/11,3,3,3,,MA
229319,10 RICE RD,,SUDBURY,6/26/01,3,3,3,,MA
1625041,10 RICH VALLEY RD,,WAYLAND,3/4/14,3,3,3,,MA
1782984,10 RICHARD RD,,BURLINGTON,10/24/14,3,3,3,,MA
349744,10 ROSEWAY ST,,JAMAICA PLAIN,6/30/11,3,3,3,,MA
7328176,10 SALISBURY ST,,WINCHESTER,8/9/16,Not Discovered Yet,Not Discovered Yet,3,,MA
7326790,10 SEWARD AVE,,BEVERLY,6/17/16,Not Discovered Yet,Not Discovered Yet,3,,MA
380514,10 SHIRLEY ST,,NEWTON,9/10/11,3,3,3,,MA
321224,10 STAGE COACH RD,,BOXFORD,4/8/09,3,3,3,,MA
261322,10 STANTON ST,,DORCHESTER,6/7/04,3,3,3,,MA
248892,10 STOW ST,,ACTON,7/31/03,3,3,3,,MA
7322291,10 SUMMER AVE,,MALDEN,12/10/15,Not Discovered Yet,3,3,,MA
3824190,10 SUMNER TER,,DORCHESTER,3/30/15,Not Discovered Yet,3,3,,MA
7321299,10 TEN HILLS RD,,SOMERVILLE,11/10/15,Not Discovered Yet,3,3,,MA
190526,10 TILLYER AV,,SOUTHBRIDGE,3/16/00,3,3,3,,MA
1181758,10 TOWNE LN,,TOPSFIELD,3/24/13,3,3,3,,MA
7324368,10 VALLEY BEACH AVE,,HULL,12/4/12,Missed 2,Missed 2,3,,MA
329615,10 WEBBER AVE,,BEDFORD,1/11/10,3,3,3,,MA
323543,10 WESTON AVE,,QUINCY,6/11/09,3,3,3,,MA
195362,10 WHITTIER RD,,MEDFORD,8/7/00,3,3,3,,MA
922810,10 WILLIAMS ST,,WALTHAM,6/29/12,3,3,3,,MA
327198,10 WINTER ST,,QUINCY,10/2/09,3,3,3,,MA
