leak Number,Reported Address,Cross Street,Town,Reported Date,15-SQ-05 Class,16-SQ-05 Class,Grade,Repaired Date,State
7324503,1 ADDUCI WAY,,HULL,4/10/16,Not Discovered Yet,Not Discovered Yet,1,4/10/16,MA
7326366,1 AINSLEY ST,,DORCHESTER,6/9/16,Not Discovered Yet,Not Discovered Yet,1,6/9/16,MA
7331006,1 APRIL LN,,WESTON,12/30/16,Not Discovered Yet,Not Discovered Yet,2A,12/30/16,MA
7326819,1 ATLANTIC AVE,,REVERE,6/24/16,Not Discovered Yet,Not Discovered Yet,1,6/24/16,MA
7328555,1 BEACON ST,,BOSTON,8/30/16,Not Discovered Yet,Not Discovered Yet,1,8/31/16,MA
7325644,1 BERWICK RD,,MEDFORD,5/16/16,Not Discovered Yet,Not Discovered Yet,2A,6/10/16,MA
7329431,1 BOW ST,,SALEM,10/10/16,Not Discovered Yet,Not Discovered Yet,1,10/10/16,MA
7327424,1 BOW ST,,WELLESLEY,7/13/16,Not Discovered Yet,Not Discovered Yet,1,7/14/16,MA
7323500,1 BROOK RD,,QUINCY,2/17/16,Not Discovered Yet,Not Discovered Yet,2,3/22/16,MA
591359,1 CEDARDALE RD,,LYNN,11/5/11,3,3,2,3/17/16,MA
7327517,1 CENTRE AVE,,DORCHESTER,6/23/16,Not Discovered Yet,Not Discovered Yet,2,8/24/16,MA
7330940,1 CHASE ST,,LYNN,12/28/16,Not Discovered Yet,Not Discovered Yet,1,12/29/16,MA
7328673,1 CHELSEA TER,,EAST BOSTON,9/6/16,Not Discovered Yet,Not Discovered Yet,1,9/6/16,MA
1635973,1 CHURCH ST,,AYER,4/21/14,3,3,3,9/8/16,MA
7323429,1 CRESCENT ST,,WELLESLEY,2/15/16,Not Discovered Yet,Not Discovered Yet,1,2/16/16,MA
7330284,1 DARTMOUTH ST,,PEABODY,11/19/16,Not Discovered Yet,Not Discovered Yet,2,12/14/16,MA
7323440,1 E MAIN ST,,AYER,2/9/16,Not Discovered Yet,Not Discovered Yet,2,10/20/16,MA
1296361,1 ELIOT AVE,,BROOKLINE,5/28/13,3,3,2,3/18/16,MA
7324020,1 HARTWELL RD,,BEDFORD,3/16/16,Not Discovered Yet,Not Discovered Yet,1,3/21/16,MA
