TOWN,ADDRESS,CROSS ST,LEAK GRADE,DATE REPORTED,NOTE
FRAMINGHAM,1 BROOKVALE,,3,10/30/2014,
DEDHAM,1 BUSINESS,,3,12/02/2016,
MILLBURY,1 CANAL,,3,06/14/2016,
DARTMOUTH,1 DALLAS,,3,08/26/2014,
NORTHBRIDGE,1 ELM,,3,04/27/2016,
DARTMOUTH,1 ERIC,,3,06/06/2014,
CAMBRIDGE,1 FOLLEN,,3,06/08/2016,
CAMBRIDGE,1 GRAY GARDENS EAST,,3,08/16/2016,
WORCESTER,1 GUILD,,3,12/04/2014,
CAMBRIDGE,1 HOLLIS,,3,12/13/2016,
WORCESTER,1 IONIC,,3,11/03/2015,
DARTMOUTH,1 JOHN WINTHROP,,3,12/22/2016,
WORCESTER,1 KELLEY,,3,12/16/2014,
WORCESTER,1 KNOX,,3,11/04/2016,
HYDE PARK,1 LEWISTON,,3,12/04/2014,
FRAMINGHAM,1 LOMAS,,3,10/30/2015,
NATICK,1 LONGFELLOW,,3,08/02/2016,
WORCESTER,1 LONGWOOD,,3,07/30/2014,
MILFORD,1 LUBY,,3,09/10/2014,
FRAMINGHAM,1 MARBLE,,3,10/27/2016,
MAYNARD,1 MICHAEL,,3,10/20/2014,
NORTHBORO,1 MILK PORRIDGE,,3,07/21/2016,
WORCESTER,1 MOSS,,3,06/09/2016,
GRAFTON,1 NOTTINGHAM,,3,07/10/2015,
NORTHBORO,1 PATRICK,,3,07/18/2016,
FRAMINGHAM,1 QUINLAN,,3,09/22/2015,
WORCESTER,1 RICH,,3,05/12/2014,
MILFORD,1 SPRUCE,,3,05/20/2015,
AUBURN,1 ST MARK,,3,12/28/2016,
FAIRHAVEN,1 TRIPP,,3,08/29/2014,
CARVER,1 WENHAM,,3,11/24/2014,
WORCESTER,1 WEST BOYLSTON,,3,12/08/2016,
HOPKINTON,1 WOODVIEW,,3,10/21/2014,
NATICK,1 WORCESTER,,3,07/07/2014,
MAYNARD,1-2 DARTMOUTH,,3,11/06/2014,
WORCESTER,1-3 LAUREL BROOK,,3,12/27/2016,
MILLBURY,1-7 BRIERLY,,3,11/14/2014,
AUBURN,10 A,,3,12/23/2016,
CAMBRIDGE,10 BATES,,3,08/03/2015,
GRAFTON,10 BEVERLY,,3,09/25/2014,
ASHLAND,10 BIRCH HILL,,3,05/28/2014,
NORTHBORO,10 CHURCH,,3,09/10/2014,
HUDSON,10 COLLINS,,3,07/11/2016,
FAIRHAVEN,10 EDDY,,3,12/16/2016,
FAIRHAVEN,10 EVERGREEN,,3,07/23/2014,
CAMBRIDGE,10 GARDEN,,3,10/19/2016,
WORCESTER,10 GLADE,,3,12/11/2014,
WORCESTER,10 GOLDTHWAITE,,3,12/03/2014,
MATTAPOISETT,10 GOSNOLD,,3,09/18/2014,
WESTBOROUGH,10 GROVE,,3,12/16/2014,
FAIRHAVEN,10 HAMLET,,3,02/25/2014,
MILFORD,10 HIGH,,3,08/15/2016,
ASHLAND,10 HIGLEY,,3,05/23/2014,
WORCESTER,10 IRVING,,3,11/13/2015,
NATICK,10 MICHIGAN,,3,12/01/2016,
ASHLAND,10 MULHALL,,3,06/03/2014,
MAYNARD,10 NICK,,3,10/22/2014,
MAYNARD,10 PATTI,,3,10/21/2014,
MARLBORO,10 PETERS,,3,06/11/2014,
KINGSTON,10 PINE,,3,12/05/2016,
HUDSON,10 RICE,,3,12/30/2016,
FAIRHAVEN,10 SPRINGHILL,,3,10/17/2014,
HUDSON,10 SUMMER,,3,08/27/2014,
WORCESTER,10 UNDERWOOD,,3,11/09/2016,
FRAMINGHAM,10 WESTVIEW,,3,11/02/2016,
GRAFTON,10 WESTVIEW,,3,09/29/2014,
DEDHAM,10 WHITEHALL,,3,10/02/2014,
WORCESTER,10 YOUNG,,3,11/02/2016,
WORCESTER,10-12 BOYLSTON,,3,11/06/2014,
NEW BEDFORD,10-12 ROCKDALE,,3,03/09/2016,
CAMBRIDGE,10-16 PORTSMOUTH,,3,07/01/2016,
WORCESTER,100 ALVARADO,,3,08/12/2014,
WORCESTER,100 CHANDLER,,3,09/30/2014,
MARLBORO,100 GRACE,,3,09/02/2015,
WORCESTER,100 INSTITUTE,,3,11/09/2016,
WORCESTER,100 LAMARTINE,,3,12/11/2014,
DEDHAM,100 MONROE,,3,08/26/2015,
NEW BEDFORD,100 NORTH FRONT,,3,06/27/2014,
CARVER,100 NORTH MAIN,,3,10/14/2016,
NEEDHAM,100 PRINCE,,3,10/17/2016,
CAMBRIDGE,100 SCIARAPPA,,3,07/19/2016,
CAMBRIDGE,1000 MASSACHUSETTS,,3,06/03/2016,
FRAMINGHAM,1008 PLEASANT,,3,05/10/2014,
WORCESTER,101 BEECHING,,3,08/26/2014,
AUBURN,101 SOUTHBRIDGE,,3,04/07/2014,
WORCESTER,101-103 FOREST,,3,10/01/2014,
WORCESTER,1010 PLEASANT,,3,10/25/2016,
NEW BEDFORD,1017 DEWEY,,3,07/02/2015,
NATICK,102 1/2 SPEEN,,3,11/29/2016,
HYDE PARK,102 ARLINGTON,,3,03/14/2015,
FAIRHAVEN,102 GREEN,,3,09/16/2014,
WORCESTER,102 GROVE,,3,12/12/2014,
NEW BEDFORD,102 MOUNT PLEASANT,,3,10/26/2016,
